Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
VICHADA,AHUYAMA,2012,6.7,22.1,3.3
VICHADA,AHUYAMA,2022,9.0,59.0,6.5600000000000005
VICHADA,AJI,2021,40.0,200.0,5.0
VICHADA,AJONJOLI,2023,2.0,2.5,1.25
VICHADA,ALGODON,2006,0.0,0.0,0.0
VICHADA,ALGODON,2009,106.86,319.0,2.99
VICHADA,ARROZ SECANO MANUAL,2008,54.0,66.0,1.22
VICHADA,CACAO,2008,90.0,32.6,0.36
VICHADA,CAÑA PANELERA,2010,62.0,277.0,4.47
VICHADA,CAÑA PANELERA,2011,79.0,349.0,4.42
VICHADA,CAÑA PANELERA,2020,192.0,19100.0,99.48
VICHADA,CAÑA PANELERA,2023,162.18,8979.0,55.36
VICHADA,CAUCHO,2009,0.0,0.0,0.0
VICHADA,CAUCHO,2017,0.0,0.0,0.0
VICHADA,CILANTRO,2018,1.03,4.21,4.08
VICHADA,CILANTRO,2022,2.5,28.0,11.2
VICHADA,GUANABANA,2010,40.0,600.0,15.0
VICHADA,GUANABANA,2011,35.1,350.02,9.97
VICHADA,LIMON,2012,3.0,1.5,0.5
VICHADA,LIMON TAHITI,2023,64.7,905.8,14.0
VICHADA,MAIZ TECNIFICADO,2010,339.0,1008.0,2.9699999999999998
VICHADA,MAIZ TECNIFICADO,2011,244.0,735.0,3.01
VICHADA,MAIZ TECNIFICADO,2016,21000.0,133500.0,6.36
VICHADA,MAIZ TECNIFICADO,2017,20700.0,112800.0,5.45
VICHADA,MAIZ TRADICIONAL,2008,819.0,1008.0,1.23
VICHADA,MARACUYA,2021,10.0,120.0,12.0
VICHADA,MARAÑON,2012,660.0,2640.0,4.0
VICHADA,MARAÑON,2013,208.0,832.0,4.0
VICHADA,MARAÑON,2018,1155.0,3885.0,3.36
VICHADA,MELON,2014,10.0,60.0,6.0
VICHADA,MELON,2015,9.0,45.0,5.0
VICHADA,NARANJA,2008,70.0,270.0,3.86
VICHADA,NARANJA,2016,80.0,800.0,10.0
VICHADA,NARANJA,2017,80.0,800.0,10.0
VICHADA,PALMA DE ACEITE,2014,1000.0,3110.0,3.11
VICHADA,PALMA DE ACEITE,2015,1000.0,3100.0,3.1
VICHADA,PALMA DE ACEITE,2021,16000.0,39498.46,2.4699999999999998
VICHADA,PATILLA,2022,24.0,271.0,11.29
VICHADA,PEPINO COHOMBRO,2008,11.0,17.0,1.55
VICHADA,PIMENTON,2010,9.0,14.0,1.56
VICHADA,PIMENTON,2011,6.0,6.0,1.0
VICHADA,PIÑA,2021,132.0,1048.0,7.9399999999999995
VICHADA,PLATANO,2008,463.0,2267.0,4.9
VICHADA,PLATANO,2015,629.0,3097.5,4.92
VICHADA,TOMATE,2007,0.0,0.0,0.0
