Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CAQUETA,AHUYAMA,2012,6.6,99.0,15.0
CAQUETA,AHUYAMA,2022,19.0,124.0,6.53
CAQUETA,AJI,2021,6.0,10.0,1.67
CAQUETA,ARROZ SECANO MANUAL,2008,1208.0,1875.0,1.55
CAQUETA,ARROZ SECANO MECANIZADO,2021,2016.0,8452.04,4.19
CAQUETA,BANANO,2021,528.0,2709.52,5.13
CAQUETA,CACAO,2008,425.5,186.9,0.44
CAQUETA,CAFE,2007,2295.0,2134.0,0.93
CAQUETA,CAFE,2010,2536.0,2902.5,1.1400000000000001
CAQUETA,CAFE,2011,2810.0,2528.4,0.9
CAQUETA,CAFE,2016,3392.22,3861.63,1.1400000000000001
CAQUETA,CAFE,2017,3408.69,5108.33,1.5
CAQUETA,CAÑA PANELERA,2010,2748.0,13694.8,4.98
CAQUETA,CAÑA PANELERA,2011,2890.0,17140.98,5.93
CAQUETA,CAÑA PANELERA,2020,4856.0,240594.0,49.55
CAQUETA,CAÑA PANELERA,2023,5090.0,285949.0,56.18
CAQUETA,CAUCHO,2009,1142.2,1410.6,1.23
CAQUETA,CEBOLLA DE RAMA,2017,0.0,0.0,0.0
CAQUETA,CHONTADURO,2007,100.46,418.51,4.17
CAQUETA,CHONTADURO,2011,214.0,1005.2,4.7
CAQUETA,CHONTADURO,2016,277.7,1470.2,5.29
CAQUETA,CHONTADURO,2017,310.5,1627.7,5.24
CAQUETA,CILANTRO,2012,7.7,18.18,2.36
CAQUETA,CILANTRO,2013,6.0,5.7,0.95
CAQUETA,CILANTRO,2018,5.0,19.4,3.88
CAQUETA,FRESA,2021,30.0,450.0,15.0
CAQUETA,FRIJOL,2019,432.0,654.4,1.51
CAQUETA,FRUTALES VARIOS,2014,6.0,12.0,2.0
CAQUETA,HABICHUELA,2019,17.0,119.0,7.0
CAQUETA,HELICONIA,2015,4.0,8.0,2.0
CAQUETA,LIMON,2012,3.0,9.0,3.0
CAQUETA,LIMON,2022,5.0,25.0,5.0
CAQUETA,LIMON TAHITI,2023,80.0,400.0,5.0
CAQUETA,LULO,2010,225.0,3225.0,14.33
CAQUETA,LULO,2011,225.0,3375.0,15.0
CAQUETA,LULO,2016,434.0,1598.0,3.68
