Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ALPUJARRA,2216.0,2146.0,2150.0,1.0
2007,ALVARADO,1122.0,989.0,922.0,0.93
2007,ANZOATEGUI,3271.0,2925.0,4103.0,1.4
2007,ARMERO (GUAYABAL),323.0,281.0,430.0,1.53
2007,ATACO,6746.0,5734.1,6958.38,1.21
2007,CAJAMARCA,1246.0,1083.0,1035.0,0.96
2007,CASABIANCA,1926.0,1705.0,2489.0,1.46
2007,CHAPARRAL,6971.0,6173.0,7654.0,1.24
2007,COYAIMA,113.0,106.0,50.0,0.47
2007,CUNDAY,3151.0,2718.0,3745.0,1.38
2007,DOLORES,3250.0,2791.0,2233.0,0.8
2007,FALAN,1492.0,1390.0,1905.0,1.37
2007,FRESNO,7437.0,6774.0,10375.0,1.53
2007,HERVEO,1505.0,1357.0,1942.0,1.43
2007,IBAGUE,7945.0,6840.0,6156.0,0.9
2007,ICONONZO,3110.0,2915.0,2249.0,0.77
2007,LERIDA,509.0,458.0,549.0,1.2
2007,LIBANO,8873.0,7586.0,10138.0,1.34
2007,MARIQUITA,810.0,679.0,952.0,1.4
2007,MELGAR,572.0,410.0,473.0,1.15
2007,MURILLO,65.0,58.0,74.0,1.28
2007,NATAGAIMA,136.0,127.0,69.0,0.54
2007,ORTEGA,4420.0,3795.0,4934.0,1.3
2007,PALOCABILDO,2138.0,1907.0,2660.0,1.3900000000000001
2007,PLANADAS,8601.0,7893.0,10141.0,1.28
2007,PRADO,1084.0,1007.0,1328.0,1.32
2007,PURIFICACION,275.0,241.0,255.0,1.06
2007,RIOBLANCO,4152.0,3695.0,4951.0,1.34
2007,RONCESVALLES,249.0,208.0,260.0,1.25
2007,ROVIRA,5844.0,5319.0,5694.0,1.07
2007,SAN ANTONIO,3255.0,2969.0,2986.0,1.01
2007,SAN LUIS,255.0,238.0,310.0,1.3
2007,SANTA ISABEL,1079.0,996.0,1236.0,1.24
2007,SUAREZ,45.0,41.0,14.0,0.34
2007,VALLE DE SAN JUAN,1089.0,933.0,1150.0,1.23
2007,VENADILLO,1212.0,1047.0,1478.0,1.41
2007,VILLAHERMOSA,3621.0,3273.0,4768.0,1.46
2007,VILLARRICA,3177.0,2872.0,3506.0,1.22
2008,ALPUJARRA,1972.0,1676.2,1097.63,0.65
2008,ALVARADO,986.0,838.1,911.25,1.09
2008,ANZOATEGUI,3386.0,2878.1,3562.0,1.24
2008,ARMERO (GUAYABAL),296.0,251.6,375.0,1.49
2008,ATACO,6746.0,5734.1,6958.38,1.21
2008,CAJAMARCA,1238.0,1052.3,900.88,0.86
2008,CASABIANCA,1895.0,1610.75,2278.0,1.41
2008,CHAPARRAL,6859.0,5830.15,5674.38,0.97
2008,COYAIMA,88.0,74.8,41.38,0.55
2008,CUNDAY,2396.0,2036.6,2060.63,1.01
2008,DOLORES,3242.0,2755.7,2133.13,0.77
2008,FALAN,1256.0,1067.6,1519.0,1.42
2008,FRESNO,6997.0,5947.45,9150.0,1.54
