Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,SANTA ROSA DEL SUR,690.0,490.0,441.0,0.9
2007,TIQUISIO,12.0,12.0,5.0,0.42
2008,SANTA ROSA DEL SUR,830.0,560.0,700.0,1.25
2008,TIQUISIO,12.0,12.0,11.0,0.92
2009,SANTA ROSA DEL SUR,920.0,770.0,292.6,0.38
2010,SANTA ROSA DEL SUR,1030.0,850.0,510.0,0.6
2011,SANTA ROSA DEL SUR,1030.0,850.0,510.0,0.6
2012,SANTA ROSA DEL SUR,1390.0,870.0,652.5,0.75
2013,MORALES,77.09,67.67,40.57,0.6
2013,SANTA ROSA DEL SUR,921.34,591.37,354.5,0.6
2014,MORALES,77.11,69.78,45.23,0.65
2014,SANTA ROSA DEL SUR,1039.5,866.56,561.7,0.65
2015,MORALES,80.81,78.31,64.76,0.83
2015,SANTA ROSA DEL SUR,1077.77,986.76,1024.98,1.04
2016,MORALES,80.81,76.77,65.66,0.86
2016,SANTA ROSA DEL SUR,1102.12,989.2,1062.66,1.07
2017,MORALES,80.81,76.86,50.61,0.66
2017,SANTA ROSA DEL SUR,1150.47,1060.56,698.36,0.66
2018,MORALES,80.81,80.81,50.24,0.62
2018,SANTA ROSA DEL SUR,1187.89,1101.32,684.68,0.62
2019,MORALES,101.0,81.0,32.4,0.4
2019,SAN JACINTO,49.0,30.0,30.0,1.0
2019,SANTA ROSA DEL SUR,1305.0,1230.0,984.0,0.8
2020,MORALES,81.0,81.0,64.8,0.8
2020,SAN JACINTO,49.0,30.0,30.0,1.0
2020,SANTA ROSA DEL SUR,1316.0,1146.0,984.0,0.86
2021,MORALES,161.62,161.62,117.98,0.73
2021,SAN JACINTO,118.0,98.0,89.18,0.91
2021,SANTA ROSA DEL SUR,2645.82,2314.6,1620.22,0.7
2022,MORALES,80.81,80.81,46.4,0.57
2022,SAN JACINTO,89.0,59.0,59.0,1.0
2022,SANTA ROSA DEL SUR,1345.27,1167.81,997.34,0.85
2023,MORALES,76.37,69.95,40.28,0.58
2023,SAN JACINTO,89.0,59.0,59.0,1.0
2023,SAN MARTIN DE LOBA,1.2,0.0,0.0,0.0
2023,SANTA ROSA DEL SUR,1415.17,1184.22,868.05,0.73
