Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ALMEIDA,18.0,18.0,7.2,0.4
2007,BERBEO,507.0,507.0,380.0,0.75
2007,BRICEÑO,480.0,420.0,292.0,0.7
2007,BUENAVISTA,470.0,350.0,230.0,0.66
2007,CHINAVITA,55.0,25.0,23.0,0.92
2007,CHITARAQUE,585.0,485.0,485.0,1.0
2007,CHIVOR,1.0,1.0,0.5,0.5
2007,COPER,385.0,290.0,185.0,0.64
2007,GUAYATA,297.0,295.0,355.0,1.2
2007,LA VICTORIA,270.0,260.0,229.0,0.88
2007,LABRANZAGRANDE,600.0,600.0,420.0,0.7
2007,MARIPI,523.0,408.0,286.0,0.7
2007,MIRAFLORES,750.0,692.0,519.0,0.75
2007,MONIQUIRA,2650.0,2350.0,2350.0,1.0
2007,MUZO,45.0,39.0,39.0,1.0
2007,OTANCHE,134.0,120.0,90.0,0.75
2007,PACHAVITA,141.0,130.5,104.4,0.8
2007,PAEZ,175.0,175.0,140.0,0.8
2007,PAJARITO,47.0,35.0,45.5,1.3
2007,PAUNA,385.0,360.0,360.0,1.0
2007,PAYA,170.0,150.0,85.0,0.57
2007,PISBA,190.0,85.0,106.0,1.25
2007,QUIPAMA,55.0,34.0,32.0,0.94
2007,SAN EDUARDO,130.0,127.0,119.0,0.94
2007,SAN JOSE DE PARE,680.0,650.0,650.0,1.0
2007,SAN MATEO,100.0,100.0,100.0,1.0
2007,SAN PABLO DE BORBUR,220.0,200.0,120.0,0.6
2007,SANTA MARIA,10.0,5.0,5.0,1.0
2007,SANTA SOFIA,9.0,7.0,8.0,1.1400000000000001
2007,SANTANA,600.0,600.0,360.0,0.6
2007,SOCOTA,10.0,5.0,5.0,1.0
2007,SOMONDOCO,39.0,33.0,16.5,0.5
2007,SUTATENZA,4.0,4.0,2.0,0.5
2007,TENZA,62.0,60.0,54.0,0.9
2007,TOGUI,750.0,700.0,700.0,1.0
2007,TUNUNGUA,216.0,200.0,140.0,0.7
2007,ZETAQUIRA,919.0,854.0,640.0,0.75
2008,ALMEIDA,7.0,7.0,2.8,0.4
2008,BERBEO,508.0,476.0,357.0,0.75
2008,BRICEÑO,480.0,440.0,308.0,0.7
2008,BUENAVISTA,420.0,397.0,397.38,1.0
2008,CHITARAQUE,610.0,510.0,510.0,1.0
2008,CHIVOR,1.5,1.0,0.5,0.5
2008,COPER,341.0,270.0,144.0,0.53
2008,GUATEQUE,12.0,10.0,6.0,0.6
2008,GUAYATA,327.0,315.0,378.0,1.2
2008,LA VICTORIA,75.0,69.0,69.0,1.0
2008,LABRANZAGRANDE,205.0,190.0,71.0,0.37
2008,MACANAL,92.0,80.0,72.0,0.9
2008,MARIPI,544.0,529.0,370.0,0.7
2008,MIRAFLORES,749.0,675.0,608.0,0.9
2008,MONIQUIRA,2663.0,2478.0,2478.0,1.0
2008,MUZO,8.0,5.0,5.0,1.0
2008,OTANCHE,134.0,134.0,100.5,0.75
2008,PACHAVITA,52.0,48.5,38.8,0.8
2008,PAEZ,175.0,175.0,140.0,0.8
2008,PAJARITO,52.0,47.0,61.0,1.3
2008,PAUNA,400.0,350.0,350.0,1.0
2008,PAYA,192.0,180.0,67.0,0.37
2008,PISBA,198.0,180.0,127.0,0.71
2008,QUIPAMA,31.0,25.0,22.0,0.88
2008,SAN EDUARDO,155.0,144.0,133.92,0.93
2008,SAN JOSE DE PARE,615.0,550.0,605.0,1.1
2008,SAN MATEO,95.0,90.0,90.0,1.0
2008,SAN PABLO DE BORBUR,130.0,130.0,78.0,0.6
2008,SANTA MARIA,16.0,15.0,15.0,1.0
2008,SANTA SOFIA,11.0,8.0,8.0,1.0
2008,SANTANA,550.0,550.0,330.0,0.6
2008,SOMONDOCO,39.0,34.0,17.0,0.5
2008,SUTATENZA,15.0,15.0,16.5,1.1
2008,TENZA,63.0,62.0,55.8,0.9
2008,TOGUI,678.0,580.0,580.0,1.0
2008,TUNUNGUA,102.0,93.0,65.1,0.7
2008,ZETAQUIRA,916.0,916.0,870.0,0.95
2009,ALMEIDA,7.0,7.0,2.8,0.4
2009,BERBEO,516.0,465.0,348.75,0.75
2009,BRICEÑO,440.0,420.0,168.0,0.4
2009,BUENAVISTA,427.0,400.0,160.0,0.4
2009,CAMPOHERMOSO,110.0,95.0,57.0,0.6
2009,CHINAVITA,55.0,25.0,22.5,0.9
2009,CHITARAQUE,535.0,465.0,465.0,1.0
2009,CHIVOR,1.0,1.0,0.5,0.5
2009,COPER,352.0,326.0,163.0,0.5
2009,GUACAMAYAS,8.0,4.0,4.0,1.0
2009,GUATEQUE,7.0,6.0,3.6,0.6
2009,GUAYATA,330.0,320.0,384.0,1.2
2009,LA VICTORIA,86.5,80.0,64.0,0.8
2009,LABRANZAGRANDE,220.0,175.0,87.5,0.5
2009,MACANAL,100.6,78.0,78.0,1.0
2009,MARIPI,335.0,335.0,134.0,0.4
2009,MIRAFLORES,755.0,655.0,589.5,0.9
2009,MONIQUIRA,2729.0,2474.0,2449.26,0.99
2009,MUZO,10.0,10.0,10.0,1.0
2009,OTANCHE,40.0,30.0,24.0,0.8
2009,PACHAVITA,54.0,50.0,40.0,0.8
2009,PAEZ,175.0,171.0,136.8,0.8
2009,PAJARITO,37.0,32.0,41.6,1.3
2009,PAUNA,460.0,400.0,200.0,0.5
2009,PAYA,205.0,180.0,90.0,0.5
2009,PISBA,232.0,175.0,70.0,0.4
2009,QUIPAMA,33.0,23.0,16.1,0.7
2009,RONDON,60.0,60.0,60.0,1.0
2009,SAN EDUARDO,156.5,140.0,130.2,0.93
2009,SAN JOSE DE PARE,650.0,590.0,649.0,1.1
2009,SAN MATEO,110.0,105.0,105.0,1.0
2009,SAN PABLO DE BORBUR,190.0,130.0,104.0,0.8
2009,SANTA MARIA,10.0,5.0,5.0,1.0
2009,SANTA SOFIA,9.0,8.0,8.0,1.0
2009,SANTANA,492.0,454.0,292.46,0.64
2009,SOCOTA,78.0,60.0,60.0,1.0
2009,SOMONDOCO,36.5,36.0,18.0,0.5
2009,SUSACON,6.0,5.0,3.0,0.6
