Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,AGUADAS,4626.21,4173.37,4063.0,0.97
2007,ANSERMA,7125.06,5485.0,7131.0,1.3
2007,ARANZAZU,2596.75,2222.0,2254.0,1.01
2007,BELALCAZAR,3733.98,3196.0,3835.0,1.2
2007,CHINCHINA,5632.0,5631.24,9203.0,1.63
2007,FILADELFIA,2787.29,2604.38,3162.0,1.21
2007,LA MERCED,1321.14,1218.94,1257.0,1.03
2007,MANIZALES,9267.8,6423.84,10848.0,1.69
2007,MANZANARES,3983.52,3730.88,3743.0,1.0
2007,MARMATO,859.19,698.67,745.0,1.07
2007,MARQUETALIA,4620.96,4177.54,4471.0,1.07
2007,MARULANDA,210.44,205.31,148.0,0.72
2007,NEIRA,4332.34,4000.5,4326.0,1.08
2007,PACORA,4010.12,4000.0,4182.0,1.05
2007,PALESTINA,4777.35,4400.0,6160.0,1.4
2007,PENSILVANIA,5931.11,5900.0,5908.0,1.0
2007,RIOSUCIO,3780.59,3695.0,3111.0,0.84
2007,RISARALDA,3771.98,2750.0,3575.0,1.3
2007,SALAMINA,3064.46,2900.0,2716.0,0.94
2007,SAMANA,4627.89,4500.0,4153.0,0.92
2007,SAN JOSE,2264.0,2050.0,2253.0,1.1
2007,SUPIA,2021.46,1920.0,1938.0,1.01
2007,VICTORIA,424.82,248.0,343.0,1.38
2007,VILLAMARIA,1787.59,1593.0,2508.0,1.5699999999999998
2007,VITERBO,746.43,670.0,782.0,1.17
2008,AGUADAS,4603.59,4085.0,3458.0,0.85
2008,ANSERMA,6966.8,4985.0,5982.0,1.2
2008,ARANZAZU,2409.47,2154.0,2040.0,0.95
2008,BELALCAZAR,3753.9,3225.0,4656.0,1.44
2008,CHINCHINA,5177.03,4477.0,7263.0,1.62
2008,FILADELFIA,2735.2,2132.0,2959.0,1.3900000000000001
2008,LA MERCED,1216.89,993.0,860.0,0.87
2008,MANIZALES,8536.28,6379.0,9706.0,1.52
2008,MANZANARES,4032.23,3705.0,3577.0,0.97
2008,MARMATO,810.0,808.0,781.0,0.97
2008,MARQUETALIA,4451.46,4247.0,4528.0,1.07
2008,MARULANDA,216.38,209.0,150.0,0.72
2008,NEIRA,4332.31,3217.0,4612.0,1.43
2008,PACORA,4063.67,3583.0,3879.0,1.08
2008,PALESTINA,4498.8,4474.0,5596.0,1.25
2008,PENSILVANIA,5900.0,5900.0,5984.0,1.01
2008,RIOSUCIO,3757.0,3757.0,3151.0,0.84
2008,RISARALDA,3429.97,2895.0,3474.0,1.2
2008,SALAMINA,3066.12,2880.0,2596.0,0.9
2008,SAMANA,4576.0,4576.0,4206.0,0.92
2008,SAN JOSE,2221.89,1920.0,2688.0,1.4
2008,SUPIA,1952.0,1952.0,1963.0,1.01
2008,VICTORIA,274.34,227.0,336.0,1.48
2008,VILLAMARIA,1745.67,1223.0,1553.0,1.27
2008,VITERBO,894.0,894.0,886.0,0.99
2009,AGUADAS,4623.6,4110.0,4110.0,1.0
2009,ANSERMA,6713.94,4785.0,6359.0,1.33
2009,ARANZAZU,2306.03,2086.0,1825.0,0.87
2009,BELALCAZAR,3506.66,3464.0,3308.12,0.96
2009,CHINCHINA,5052.33,4500.0,7200.0,1.6
2009,FILADELFIA,2686.58,2400.0,3120.0,1.3
2009,LA MERCED,1193.21,1090.0,981.0,0.9
2009,MANIZALES,8084.45,7230.0,10411.0,1.44
2009,MANZANARES,3905.07,1750.0,1575.0,0.9
2009,MARMATO,741.25,600.0,540.0,0.9
2009,MARQUETALIA,4389.9,4210.0,4210.0,1.0
2009,MARULANDA,220.85,210.0,210.0,1.0
2009,NEIRA,4159.01,3949.0,3949.0,1.0
2009,PACORA,4064.64,3600.0,3096.0,0.86
2009,PALESTINA,4474.0,4474.0,5520.0,1.23
2009,PENSILVANIA,5774.85,5350.0,5900.0,1.1
2009,RIOSUCIO,3757.0,3757.0,3151.0,0.84
2009,RISARALDA,3323.23,3040.0,3648.0,1.2
2009,SALAMINA,2972.2,2700.0,2430.0,0.9
2009,SAMANA,4355.01,3900.0,3510.0,0.9
2009,SAN JOSE,2107.13,1920.0,2503.0,1.3
2009,SUPIA,1952.0,1952.0,1963.0,1.01
2009,VICTORIA,265.99,263.0,395.0,1.5
2009,VILLAMARIA,1723.65,853.0,597.1,0.7
2009,VITERBO,890.0,890.0,1157.0,1.3
2010,AGUADAS,4615.0,3800.0,3800.0,1.0
2010,ANSERMA,6837.5,6150.0,7995.0,1.3
2010,ARANZAZU,2290.78,1999.43,1999.43,1.0
2010,BELALCAZAR,3612.0,3246.0,3895.2,1.2
2010,CHINCHINA,4956.79,4229.25,6343.88,1.5
2010,FILADELFIA,2585.0,2265.0,5098.0,2.25
2010,LA MERCED,1191.35,991.0,940.3,0.95
2010,MANIZALES,7615.87,6780.29,12713.0,1.87
2010,MANZANARES,3966.5,3686.0,4165.18,1.13
2010,MARMATO,720.0,694.0,902.2,1.3
2010,MARQUETALIA,4380.0,3890.0,3890.0,1.0
2010,MARULANDA,218.0,192.0,203.52,1.06
2010,NEIRA,4149.0,3664.0,7170.5,1.96
2010,PACORA,4100.0,3300.0,3630.0,1.1
2010,PALESTINA,4281.35,3642.0,8376.6,2.3
2010,PENSILVANIA,5731.2,5346.2,4651.19,0.87
2010,RIOSUCIO,3522.0,3111.0,4262.07,1.37
2010,RISARALDA,3109.96,2840.0,2848.0,1.0
2010,SALAMINA,3016.75,2569.36,2235.34,0.87
2010,SAMANA,3887.0,3573.0,3573.0,1.0
2010,SAN JOSE,1954.0,1953.69,2197.9,1.13
2010,SUPIA,1934.0,1719.0,2578.5,1.5
2010,VICTORIA,250.0,230.0,184.0,0.8
2010,VILLAMARIA,1719.11,1569.36,1255.49,0.8
2010,VITERBO,890.0,800.0,1049.6,1.31
2011,AGUADAS,4584.0,3939.0,3939.0,1.0
2011,ANSERMA,6781.0,5253.67,5910.38,1.13
2011,ARANZAZU,2269.0,1890.57,1512.46,0.8
2011,BELALCAZAR,3328.59,2453.44,2453.44,1.0
2011,CHINCHINA,4905.8,4022.27,5631.18,1.4
2011,FILADELFIA,2524.0,2343.0,2025.4,0.86
2011,LA MERCED,1133.1,941.69,847.52,0.9
2011,MANIZALES,7592.0,6482.0,12121.34,1.87
2011,MANZANARES,3918.26,3218.0,4022.5,1.25
