Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,EL DONCELLO,325.72,248.0,223.0,0.9
2007,EL PAUJIL,126.78,97.0,83.0,0.86
2007,FLORENCIA,681.27,542.0,488.0,0.9
2007,MONTAÑITA,165.36,129.0,129.0,1.0
2007,PUERTO RICO,970.37,890.0,805.0,0.9
2007,SAN VICENTE DEL CAGUAN,518.18,389.0,406.0,1.04
2008,EL DONCELLO,328.95,319.0,255.0,0.8
2008,EL PAUJIL,134.71,127.0,102.0,0.8
2008,FLORENCIA,659.76,645.0,581.0,0.9
2008,MONTAÑITA,175.5,166.0,149.0,0.9
2008,PUERTO RICO,967.02,960.0,864.0,0.9
2008,SAN VICENTE DEL CAGUAN,520.96,518.0,518.0,1.0
2009,BELEN DE LOS ANDAQUIES,18.0,0.0,0.0,0.0
2009,EL DONCELLO,308.6,242.0,242.0,1.0
2009,EL PAUJIL,141.47,116.0,116.0,1.0
2009,FLORENCIA,664.25,587.0,587.0,1.0
2009,MONTAÑITA,175.5,85.0,85.0,1.0
2009,MORELIA,15.0,0.0,0.0,0.0
2009,PUERTO RICO,964.94,806.0,806.0,1.0
2009,SAN JOSE DEL FRAGUA,5.0,0.0,0.0,0.0
2009,SAN VICENTE DEL CAGUAN,521.43,496.0,496.0,1.0
2010,BELEN DE LOS ANDAQUIES,36.0,18.0,18.0,1.0
2010,EL DONCELLO,328.95,260.0,275.0,1.06
2010,EL PAUJIL,176.0,170.0,182.0,1.07
2010,FLORENCIA,659.76,637.0,785.0,1.23
2010,MONTAÑITA,175.5,165.0,200.0,1.21
2010,MORELIA,18.0,15.0,15.0,1.0
2010,PUERTO RICO,967.02,714.0,714.0,1.0
2010,SAN JOSE DEL FRAGUA,23.0,5.0,5.5,1.1
2010,SAN VICENTE DEL CAGUAN,702.0,552.0,708.0,1.28
2010,SOLANO,5.0,0.0,0.0,0.0
2011,BELEN DE LOS ANDAQUIES,50.0,23.0,23.0,1.0
2011,EL DONCELLO,182.0,182.0,182.0,1.0
2011,EL PAUJIL,356.0,176.0,193.6,1.1
2011,FLORENCIA,687.0,480.0,384.0,0.8
2011,MONTAÑITA,230.0,170.0,170.0,1.0
2011,MORELIA,3.0,3.0,3.0,1.0
2011,PUERTO RICO,1224.0,1021.0,816.8,0.8
2011,SAN JOSE DEL FRAGUA,20.0,20.0,22.0,1.1
2011,SAN VICENTE DEL CAGUAN,742.0,730.0,730.0,1.0
2011,SOLANO,12.0,5.0,4.0,0.8
2012,BELEN DE LOS ANDAQUIES,51.0,36.0,36.0,1.0
2012,EL DONCELLO,200.0,65.0,48.75,0.75
2012,EL PAUJIL,187.17,139.5,104.63,0.75
2012,FLORENCIA,827.0,580.0,435.0,0.75
2012,MONTAÑITA,200.0,130.0,130.0,1.0
2012,PUERTO RICO,1284.0,1200.0,960.0,0.8
2012,SAN VICENTE DEL CAGUAN,780.0,730.0,730.0,1.0
2012,SOLANO,25.0,2.0,2.0,1.0
2013,EL DONCELLO,323.25,198.89,140.9,0.71
2013,EL PAUJIL,202.59,142.09,110.73,0.78
2013,FLORENCIA,1029.4,719.77,560.91,0.78
2013,MONTAÑITA,254.66,196.02,138.87,0.71
2013,PUERTO RICO,1357.44,977.42,761.69,0.78
2013,SAN VICENTE DEL CAGUAN,917.15,671.65,475.82,0.71
2014,EL DONCELLO,333.77,247.64,189.7,0.77
2014,EL PAUJIL,181.83,134.95,113.71,0.84
2014,FLORENCIA,1031.18,762.36,642.39,0.84
2014,MONTAÑITA,200.81,180.76,138.47,0.77
2014,PUERTO RICO,1289.16,1038.99,875.49,0.84
2014,SAN VICENTE DEL CAGUAN,952.4,710.22,544.05,0.77
2015,EL DONCELLO,347.05,293.01,328.9,1.12
2015,EL PAUJIL,200.54,154.6,191.67,1.24
2015,FLORENCIA,1064.7,864.59,989.7,1.1400000000000001
2015,MONTAÑITA,206.97,181.99,186.97,1.03
2015,PUERTO RICO,1280.2,1145.76,1150.62,1.0
2015,SAN VICENTE DEL CAGUAN,992.28,770.61,901.4,1.17
2016,EL DONCELLO,339.16,280.72,325.88,1.16
2016,EL PAUJIL,217.89,164.67,211.14,1.28
2016,FLORENCIA,1097.49,873.69,1034.32,1.18
2016,MONTAÑITA,219.41,189.13,200.96,1.06
2016,PUERTO RICO,1264.1,1109.1,1151.9,1.04
2016,SAN VICENTE DEL CAGUAN,1017.85,774.92,937.44,1.21
2017,EL DONCELLO,326.65,283.83,430.51,1.52
2017,EL PAUJIL,227.29,157.99,199.7,1.26
2017,FLORENCIA,1077.45,913.59,923.82,1.01
2017,MONTAÑITA,214.51,193.54,163.09,0.84
2017,PUERTO RICO,1222.78,1048.27,1911.5,1.8199999999999998
2017,SAN VICENTE DEL CAGUAN,984.68,811.47,1479.7,1.8199999999999998
2018,EL DONCELLO,322.03,304.01,471.64,1.55
2018,EL PAUJIL,231.19,196.6,254.17,1.29
2018,FLORENCIA,1121.83,1003.72,1038.11,1.03
2018,MONTAÑITA,187.07,177.46,152.95,0.86
2018,PUERTO RICO,1210.04,990.44,1847.23,1.87
2018,SAN VICENTE DEL CAGUAN,970.67,813.01,1516.31,1.87
2019,EL DONCELLO,314.0,276.0,303.6,1.1
2019,EL PAUJIL,147.0,147.0,62.48,0.43
2019,FLORENCIA,1112.0,887.0,487.85,0.55
2019,MONTAÑITA,188.0,108.0,108.0,1.0
2019,PUERTO RICO,1271.0,952.0,780.64,0.82
2019,SAN VICENTE DEL CAGUAN,1096.0,1034.0,760.2,0.74
2020,BELEN DE LOS ANDAQUIES,25.0,10.0,10.0,1.0
2020,EL DONCELLO,310.0,277.0,193.9,0.7
2020,EL PAUJIL,225.0,188.0,112.8,0.6
2020,FLORENCIA,1004.0,809.0,566.3,0.7
2020,MONTAÑITA,159.0,149.0,80.2,0.54
2020,PUERTO RICO,1149.0,957.0,248.82,0.26
2020,SAN VICENTE DEL CAGUAN,983.0,773.0,123.68,0.16
2021,BELEN DE LOS ANDAQUIES,50.0,40.0,36.4,0.91
2021,EL DONCELLO,403.36,343.76,206.26,0.6
2021,EL PAUJIL,443.1,393.6,358.18,0.91
2021,FLORENCIA,2008.9,1614.06,887.73,0.55
2021,MONTAÑITA,306.46,291.54,265.3,0.91
2021,PUERTO RICO,2293.32,1945.52,2159.53,1.11
2021,SAN VICENTE DEL CAGUAN,2004.82,1609.96,1030.37,0.64
2022,BELEN DE LOS ANDAQUIES,25.0,25.0,25.0,1.0
2022,EL DONCELLO,206.1,183.26,91.82,0.5
2022,EL PAUJIL,217.72,194.59,184.01,0.95
2022,FLORENCIA,1030.78,797.09,834.24,1.05
2022,MONTAÑITA,119.94,114.61,115.69,1.01
2022,PUERTO RICO,1108.76,925.75,940.64,1.02
2022,SAN VICENTE DEL CAGUAN,1075.17,899.96,431.23,0.48
2023,BELEN DE LOS ANDAQUIES,100.0,25.0,25.0,1.0
2023,EL DONCELLO,191.44,177.47,107.61,0.61
2023,EL PAUJIL,211.2,191.75,161.66,0.84
2023,FLORENCIA,1061.05,837.39,869.64,1.04
2023,MONTAÑITA,113.17,102.37,96.14,0.94
2023,PUERTO RICO,1106.39,955.68,1048.03,1.1
2023,SAN VICENTE DEL CAGUAN,1144.15,981.32,559.77,0.57
