Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,AGUAZUL,25.0,25.0,18.0,0.72
2007,LA SALINA,80.0,73.0,58.0,0.79
2007,MONTERREY,25.0,24.0,16.8,0.7
2007,NUNCHIA,315.0,270.0,183.6,0.68
2007,PAZ DE ARIPORO,10.0,10.0,6.0,0.6
2007,RECETOR,30.0,30.0,24.0,0.8
2007,SACAMA,75.0,60.0,42.0,0.7
2007,TAMARA,2182.0,2113.0,1700.0,0.8
2008,AGUAZUL,17.0,15.0,3.75,0.25
2008,LA SALINA,92.0,65.0,55.63,0.86
2008,MONTERREY,25.0,15.0,9.38,0.63
2008,NUNCHIA,351.88,260.0,325.0,1.25
2008,PAZ DE ARIPORO,10.0,10.0,5.0,0.5
2008,RECETOR,11.0,8.0,2.5,0.31
2008,SABANALARGA,3.0,3.0,0.75,0.25
2008,SACAMA,82.5,66.0,58.5,0.89
2008,TAMARA,1920.0,1700.0,925.0,0.54
2008,YOPAL,7.0,7.0,2.63,0.38
2009,AGUAZUL,17.0,15.0,14.0,0.93
2009,CHAMEZA,10.0,10.0,8.0,0.8
2009,LA SALINA,91.0,75.0,75.0,1.0
2009,MONTERREY,63.0,23.0,13.0,0.57
2009,NUNCHIA,722.0,180.0,210.0,1.17
2009,RECETOR,16.0,5.0,5.0,1.0
2009,SABANALARGA,13.0,3.0,3.0,1.0
2009,SACAMA,26.0,26.0,28.0,1.08
2009,TAMARA,1742.0,1562.0,1718.2,1.1
2009,YOPAL,10.0,5.0,5.5,1.1
2010,AGUAZUL,17.0,15.0,14.0,0.93
2010,CHAMEZA,12.0,10.0,8.0,0.8
2010,HATO COROZAL,9.0,9.0,9.0,1.0
2010,LA SALINA,117.5,70.5,70.5,1.0
2010,MONTERREY,64.0,23.0,13.11,0.57
2010,NUNCHIA,281.3,220.0,200.0,0.91
2010,RECETOR,24.0,24.0,19.2,0.8
2010,SABANALARGA,22.0,10.5,11.55,1.1
2010,SACAMA,115.5,85.0,94.0,1.11
2010,TAMARA,2512.0,1726.0,2120.0,1.23
2010,YOPAL,12.0,5.0,5.5,1.1
2011,AGUAZUL,17.0,17.0,13.6,0.8
2011,CHAMEZA,13.0,4.0,2.8,0.7
2011,HATO COROZAL,15.0,6.0,5.4,0.9
2011,LA SALINA,85.0,77.5,69.75,0.9
2011,MONTERREY,75.0,35.0,19.95,0.57
2011,NUNCHIA,400.0,150.0,120.0,0.8
2011,RECETOR,34.0,24.0,24.0,1.0
2011,SABANALARGA,5.0,3.0,3.0,1.0
2011,SACAMA,94.0,52.0,52.0,1.0
2011,TAMARA,2200.0,1709.0,1709.0,1.0
2011,YOPAL,22.0,4.0,4.0,1.0
2012,AGUAZUL,14.0,14.0,10.5,0.75
2012,CHAMEZA,20.0,6.0,4.5,0.75
2012,HATO COROZAL,15.0,9.0,9.9,1.1
2012,LA SALINA,134.5,85.0,85.0,1.0
2012,MONTERREY,81.0,75.0,56.25,0.75
2012,NUNCHIA,360.0,185.0,92.5,0.5
2012,RECETOR,37.0,26.0,15.6,0.6
2012,SABANALARGA,8.0,3.0,3.0,1.0
2012,SACAMA,132.0,94.0,70.5,0.75
2012,TAMARA,1820.0,1820.0,1365.0,0.75
2012,TAURAMENA,10.0,0.0,0.0,0.0
2012,TRINIDAD,1.0,0.0,0.0,0.0
2012,YOPAL,22.0,5.0,5.5,1.1
2013,MONTERREY,70.3,46.29,28.34,0.61
2013,NUNCHIA,339.95,279.0,142.34,0.51
2013,SACAMA,141.37,61.38,37.58,0.61
2013,TAMARA,2645.94,1846.27,1130.3,0.61
2014,MONTERREY,87.38,71.1,47.07,0.66
2014,NUNCHIA,370.7,291.51,160.81,0.55
2014,SACAMA,151.07,103.37,68.43,0.66
2014,TAMARA,2643.37,2133.45,1412.29,0.66
2015,MONTERREY,92.6,77.3,89.66,1.16
2015,NUNCHIA,359.33,273.47,264.71,0.97
2015,SACAMA,152.78,134.18,141.3,1.05
2015,TAMARA,2595.39,2267.36,2131.07,0.94
2016,MONTERREY,96.89,79.29,95.11,1.2
2016,NUNCHIA,377.26,281.47,281.77,1.0
2016,SACAMA,162.18,139.63,152.07,1.09
2016,TAMARA,2534.54,2170.64,2109.94,0.97
2017,MONTERREY,119.42,97.47,123.2,1.26
2017,NUNCHIA,347.87,232.99,153.42,0.66
2017,SACAMA,158.65,138.75,175.38,1.26
2017,TAMARA,2290.36,1967.42,1295.5,0.66
2018,MONTERREY,123.35,94.08,121.63,1.29
2018,NUNCHIA,362.74,261.83,162.78,0.62
2018,SACAMA,173.26,146.9,189.92,1.29
2018,TAMARA,2134.46,1857.74,1154.93,0.62
2019,CHAMEZA,13.0,7.0,7.0,1.0
2019,LA SALINA,94.0,84.0,80.3,0.96
2019,MONTERREY,167.0,137.5,206.25,1.5
2019,NUNCHIA,246.0,190.0,76.0,0.4
2019,RECETOR,15.0,5.0,5.0,1.0
2019,SABANALARGA,3.5,3.5,5.25,1.5
2019,SACAMA,118.0,60.0,90.0,1.5
2019,TAMARA,2504.0,2090.0,1463.0,0.7
2019,TAURAMENA,60.0,40.0,40.0,1.0
2019,YOPAL,65.0,65.0,65.0,1.0
2020,CHAMEZA,17.0,12.0,3.6,0.3
2020,LA SALINA,12.0,6.0,7.2,1.2
2020,MONTERREY,127.0,124.0,188.48,1.52
2020,NUNCHIA,359.0,295.0,98.4,0.33
2020,RECETOR,21.0,15.0,15.0,1.0
2020,SABANALARGA,3.5,3.5,1.4,0.4
2020,SACAMA,174.0,136.0,113.0,0.83
2020,TAMARA,1867.0,1689.0,1162.2,0.69
2020,TAURAMENA,90.0,50.0,50.0,1.0
2020,YOPAL,65.0,65.0,65.0,1.0
2021,CHAMEZA,60.0,34.0,40.12,1.18
2021,LA SALINA,35.24,20.42,22.26,1.09
2021,MONTERREY,224.18,207.8,189.1,0.91
2021,NUNCHIA,740.92,614.86,313.58,0.51
2021,RECETOR,48.0,42.0,38.22,0.91
2021,SABANALARGA,7.0,7.0,6.37,0.91
2021,SACAMA,333.68,240.98,219.29,0.91
2021,TAMARA,3603.74,3160.62,2876.16,0.91
2021,TAURAMENA,180.0,180.0,99.0,0.55
2021,YOPAL,130.0,130.0,118.3,0.91
2022,CHAMEZA,37.0,20.0,23.6,1.18
2022,LA SALINA,31.35,14.89,12.34,0.83
2022,MONTERREY,120.76,99.7,74.13,0.74
2022,NUNCHIA,223.51,180.11,139.86,0.78
2022,RECETOR,24.0,24.0,24.0,1.0
2022,SABANALARGA,3.5,3.5,3.19,0.91
2022,SACAMA,194.0,128.83,114.63,0.89
2022,TAMARA,1806.59,1539.49,1209.08,0.79
2022,TAURAMENA,90.0,90.0,49.5,0.55
2022,YOPAL,105.0,85.0,77.35,0.91
2023,CHAMEZA,72.0,20.0,23.6,1.18
2023,LA SALINA,37.96,16.79,10.81,0.64
2023,MONTERREY,112.56,91.07,99.44,1.09
2023,NUNCHIA,219.97,162.0,116.04,0.72
2023,RECETOR,26.0,21.0,21.0,1.0
2023,SABANALARGA,13.0,2.5,0.9,0.36
2023,SACAMA,188.72,142.02,254.48,1.79
2023,TAMARA,1743.57,1498.1,1063.56,0.71
2023,TAURAMENA,45.93,19.67,43.29,2.2
2023,YOPAL,105.0,85.0,77.35,0.91
