Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ALMAGUER,905.19,737.0,408.0,0.55
2007,ARGELIA,1299.59,1097.0,640.0,0.58
2007,BALBOA,1476.89,1011.0,1036.0,1.02
2007,BOLIVAR,2206.95,1532.0,1094.0,0.71
2007,BUENOS AIRES,1323.05,1119.0,963.0,0.86
2007,CAJIBIO,5774.43,5229.0,4679.0,0.89
2007,CALDONO,3350.49,2477.0,2050.0,0.83
2007,CALOTO,1259.29,1101.0,711.0,0.65
2007,CORINTO,1676.5,1579.0,1075.0,0.68
2007,EL TAMBO,6577.17,6031.0,7306.0,1.21
2007,INZA,3141.74,2462.0,2358.0,0.96
2007,JAMBALO,1037.2,767.0,402.0,0.52
2007,LA SIERRA,1453.14,1341.0,988.0,0.74
2007,LA VEGA,1982.01,1353.0,1156.0,0.85
2007,MERCADERES,1131.33,1043.0,1042.0,1.0
2007,MIRANDA,497.4,361.0,227.0,0.63
2007,MORALES,5234.48,3533.0,4715.0,1.33
2007,PAEZ,2221.4,1591.0,1062.0,0.67
2007,PATIA,1218.76,1017.0,825.0,0.81
2007,PIENDAMO,5945.67,4577.0,5551.0,1.21
2007,POPAYAN,3213.69,2182.0,2488.0,1.1400000000000001
2007,PURACE,153.29,141.0,129.0,0.91
2007,ROSAS,1456.57,1025.0,904.0,0.88
2007,SAN SEBASTIAN,30.48,25.0,41.0,1.6400000000000001
2007,SANTANDER DE QUILICHAO,2962.88,2167.0,1796.0,0.83
2007,SOTARA,632.31,458.0,449.0,0.98
2007,SUAREZ,3133.12,2141.0,1700.0,0.79
2007,SUCRE,899.03,820.0,474.0,0.58
2007,TIMBIO,3737.13,3094.0,4035.0,1.3
2007,TORIBIO,1786.24,1216.0,861.0,0.71
2007,TOTORO,285.34,244.0,183.0,0.75
2008,ALMAGUER,912.13,701.0,345.0,0.49
2008,ARGELIA,1337.21,1095.0,568.0,0.52
2008,BALBOA,1525.14,1302.0,1186.0,0.91
2008,BOLIVAR,2286.92,1521.0,966.0,0.64
2008,BUENOS AIRES,1392.11,1138.0,872.0,0.77
2008,CAJIBIO,5853.98,4671.0,3718.0,0.8
2008,CALDONO,3418.01,2711.0,1996.0,0.74
2008,CALOTO,1320.84,979.0,562.0,0.57
2008,CORINTO,1673.18,1581.0,958.0,0.61
2008,EL TAMBO,6677.56,4523.0,4875.0,1.08
2008,INZA,3209.68,2377.0,2026.0,0.85
2008,JAMBALO,1046.26,953.0,444.0,0.47
2008,LA SIERRA,1419.14,1196.0,784.0,0.66
2008,LA VEGA,2005.39,1322.0,1005.0,0.76
2008,MERCADERES,1146.33,986.0,876.0,0.89
2008,MIRANDA,504.08,411.0,230.0,0.56
2008,MORALES,5270.58,4949.0,5876.0,1.19
2008,PAEZ,2258.73,2101.0,1248.0,0.59
2008,PATIA,1221.94,1087.0,785.0,0.72
2008,PIENDAMO,6025.83,5724.0,6176.0,1.08
2008,POPAYAN,3202.32,2678.0,2717.0,1.01
2008,PURACE,166.21,132.0,107.0,0.81
2008,ROSAS,1414.0,1260.0,988.0,0.78
2008,SAN SEBASTIAN,30.48,28.0,41.0,1.46
2008,SANTANDER DE QUILICHAO,2792.83,2059.0,1519.0,0.74
2008,SOTARA,632.66,575.0,501.0,0.87
2008,SUAREZ,3200.73,3018.0,2132.0,0.71
2008,SUCRE,947.42,638.0,328.0,0.51
2008,TIMBIO,3610.0,2641.0,3064.0,1.16
2008,TORIBIO,1841.94,1497.0,944.0,0.63
2008,TOTORO,397.92,354.0,236.0,0.67
2009,ALMAGUER,916.0,753.0,355.0,0.47
2009,ARGELIA,1628.0,939.0,466.0,0.5
2009,BALBOA,1678.0,1358.0,1183.0,0.87
2009,BOLIVAR,2087.0,1921.0,1167.0,0.61
2009,BUENOS AIRES,1403.0,650.0,476.0,0.73
2009,CAJIBIO,6334.0,5612.0,4272.0,0.76
2009,CALDONO,3435.0,2159.0,1520.0,0.7
2009,CALOTO,1838.28,1600.0,879.0,0.55
2009,CORINTO,1745.0,1614.0,935.0,0.58
2009,EL TAMBO,6822.0,6135.0,6323.0,1.03
2009,INZA,3494.0,2847.0,2320.0,0.81
2009,JAMBALO,1059.0,580.0,258.0,0.44
2009,LA SIERRA,1433.0,800.0,502.0,0.63
2009,LA VEGA,1975.0,1800.0,1309.0,0.73
2009,MERCADERES,1157.0,720.0,612.0,0.85
2009,MIRANDA,479.42,405.0,217.0,0.54
2009,MORALES,5556.0,4722.0,5362.0,1.1400000000000001
2009,PAEZ,2300.0,1978.0,1124.0,0.57
2009,PATIA,1234.0,1107.0,764.0,0.69
2009,PIENDAMO,6055.0,4930.0,5087.0,1.03
2009,POPAYAN,3395.09,2390.0,2319.0,0.97
2009,PURACE,188.06,125.0,97.0,0.78
2009,ROSAS,1425.0,1360.0,1020.0,0.75
2009,SAN SEBASTIAN,30.0,26.0,36.0,1.38
2009,SANTANDER DE QUILICHAO,2691.57,2650.0,1869.0,0.71
2009,SOTARA,753.31,458.0,382.0,0.83
2009,SUAREZ,3228.0,3050.0,2061.0,0.68
2009,SUCRE,953.0,762.0,375.0,0.49
2009,TIMBIO,3769.98,2500.0,2774.0,1.11
2009,TORIBIO,1863.0,1727.0,1041.0,0.6
2009,TOTORO,410.0,182.0,116.0,0.64
2010,ALMAGUER,917.39,809.0,361.0,0.45
2010,ARGELIA,1396.65,1271.0,640.0,0.5
2010,BALBOA,1554.16,1373.0,1289.0,0.94
2010,BOLIVAR,2350.71,1729.0,960.0,0.56
2010,BUENOS AIRES,1414.15,925.0,648.0,0.7
2010,CAJIBIO,5898.9,5318.0,4117.0,0.77
2010,CALDONO,3451.95,3126.0,2294.0,0.73
2010,CALOTO,1353.36,1146.0,652.0,0.57
2010,CORINTO,1664.54,1256.0,731.0,0.58
2010,EL TAMBO,6736.11,4429.0,4724.0,1.07
2010,INZA,3292.56,2646.0,2206.0,0.83
2010,JAMBALO,1070.97,925.0,416.0,0.45
2010,LA SIERRA,1446.32,1298.0,813.0,0.63
2010,LA VEGA,2041.29,1658.0,1238.0,0.75
2010,MERCADERES,1167.32,775.0,722.0,0.93
2010,MIRANDA,504.47,379.0,222.0,0.59
2010,MORALES,5314.33,3942.0,4557.0,1.16
2010,PAEZ,2340.68,2222.0,1218.0,0.55
2010,PATIA,1246.71,941.0,669.0,0.71
2010,PIENDAMO,6084.71,5447.0,6074.0,1.12
2010,POPAYAN,3269.83,2294.0,2229.0,0.97
2010,PURACE,169.8,133.0,104.0,0.78
2010,ROSAS,1425.82,1231.0,833.0,0.68
2010,SAN SEBASTIAN,30.48,25.0,35.0,1.4
2010,SANTANDER DE QUILICHAO,2833.85,1974.0,1526.0,0.77
2010,SOTARA,639.29,550.0,425.0,0.77
2010,SUAREZ,3256.17,2319.0,1467.0,0.63
2010,SUCRE,958.14,836.0,387.0,0.46
2010,TIMBIO,3640.15,2441.0,2473.0,1.01
2010,TORIBIO,1884.14,1378.0,848.0,0.62
2010,TOTORO,398.96,366.0,235.0,0.64
2011,ALMAGUER,917.5,745.93,332.85,0.45
2011,ARGELIA,1396.91,1171.89,590.09,0.5
2011,BALBOA,1603.15,1416.28,1188.0,0.84
2011,BOLIVAR,2350.77,1593.97,885.03,0.56
2011,BUENOS AIRES,1414.19,852.65,597.31,0.7
2011,CAJIBIO,5422.06,4904.75,3797.08,0.77
2011,CALDONO,3924.0,3553.48,1776.74,0.5
2011,CALOTO,1850.0,1057.62,601.72,0.57
2011,CORINTO,1664.54,1159.02,674.56,0.58
2011,EL TAMBO,6850.62,4504.29,4353.88,0.97
2011,FLORENCIA,166.0,66.0,39.6,0.6
2011,INZA,3293.12,2439.53,2033.87,0.83
2011,JAMBALO,1071.02,852.25,383.28,0.45
2011,LA SIERRA,1446.51,1196.09,749.17,0.63
2011,LA VEGA,2041.49,1528.71,1141.46,0.75
2011,MERCADERES,1204.38,799.61,664.96,0.83
2011,MIRANDA,504.57,349.39,204.66,0.59
2011,MORALES,5358.77,3974.96,4197.61,1.06
2011,PADILLA,6.0,6.0,3.6,0.6
2011,PAEZ,2340.91,2049.82,1123.62,0.55
2011,PATIA,1305.0,1216.0,729.6,0.6
2011,PIENDAMO,6161.95,5516.15,5599.49,1.02
2011,POPAYAN,3360.81,2357.83,2055.24,0.87
2011,PURACE,169.83,122.62,95.88,0.78
2011,ROSAS,1425.9,1134.28,767.55,0.68
2011,SAN SEBASTIAN,115.0,5.2,4.74,0.91
2011,SANTA ROSA,128.0,127.0,127.0,1.0
2011,SANTANDER DE QUILICHAO,2974.0,1821.09,1407.8,0.77
2011,SILVIA,20.2,10.2,6.12,0.6
2011,SOTARA,745.0,695.0,521.25,0.75
2011,SUAREZ,3278.0,2139.21,1353.27,0.63
2011,SUCRE,1358.5,771.18,356.99,0.46
2011,TIMBIO,3727.13,2499.33,2282.16,0.91
2011,TORIBIO,1884.34,1271.69,782.58,0.62
2011,TOTORO,398.98,337.41,216.64,0.64
2012,ALMAGUER,700.0,700.0,770.0,1.1
2012,ARGELIA,2287.0,2130.0,1245.0,0.58
2012,BALBOA,1782.8,1674.0,1309.6,0.78
2012,BOLIVAR,2552.0,2024.0,2226.4,1.1
2012,BUENOS AIRES,2316.0,1000.0,500.0,0.5
2012,CAJIBIO,6626.0,6580.0,7238.0,1.1
2012,CALDONO,3924.0,3553.48,1776.74,0.5
2012,CALOTO,1485.0,1335.0,1468.5,1.1
2012,CORINTO,1664.54,1260.0,756.0,0.6
2012,FLORENCIA,800.0,650.0,715.0,1.1
2012,INZA,3293.12,2439.53,2683.48,1.1
2012,JAMBALO,1071.02,852.25,383.28,0.45
2012,LA SIERRA,1147.0,420.0,462.0,1.1
2012,LA VEGA,5100.9,4810.62,2405.31,0.5
2012,MERCADERES,1936.0,980.0,1078.0,1.1
2012,MIRANDA,578.0,418.0,418.0,1.0
2012,MORALES,6339.0,4680.0,4446.0,0.95
2012,PADILLA,2.64,0.0,0.0,0.0
2012,PAEZ,2800.0,2400.0,2640.0,1.1
2012,PATIA,1766.0,1415.0,1259.75,0.89
2012,PIENDAMO,14795.0,4653.0,5118.3,1.1
2012,POPAYAN,3280.27,3240.0,2916.0,0.9
2012,PURACE,182.0,130.0,136.0,1.05
2012,ROSAS,1495.0,1425.0,1567.5,1.1
2012,SAN SEBASTIAN,115.0,105.0,115.5,1.1
2012,SANTA ROSA,40.0,20.0,20.0,1.0
2012,SANTANDER DE QUILICHAO,2690.19,2615.12,1988.17,0.76
2012,SILVIA,20.0,5.0,3.0,0.6
2012,SOTARA,805.0,775.0,697.5,0.9
2012,SUAREZ,3765.0,2280.0,2508.0,1.1
2012,SUCRE,1339.0,1239.0,619.5,0.5
