Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,AGUACHICA,960.0,960.0,540.0,0.56
2007,AGUSTIN CODAZZI,5067.0,5067.0,3040.0,0.6
2007,BECERRIL,450.0,450.0,280.0,0.62
2007,CHIMICHAGUA,263.0,263.0,163.0,0.62
2007,CHIRIGUANA,362.0,362.0,170.0,0.47
2007,CURUMANI,325.0,325.0,195.0,0.6
2007,EL COPEY,750.0,750.0,400.0,0.53
2007,GONZALEZ,160.0,160.0,104.0,0.65
2007,LA GLORIA,107.0,97.0,58.0,0.6
2007,LA JAGUA DE IBIRICO,1200.0,1050.0,650.0,0.62
2007,LA PAZ,3264.0,3264.0,2000.0,0.61
2007,MANAURE,530.0,530.0,300.0,0.57
2007,PAILITAS,240.0,150.0,113.0,0.75
2007,PELAYA,28.0,28.0,16.0,0.57
2007,PUEBLO BELLO,5018.0,5018.0,2800.0,0.56
2007,RIO DE ORO,36.0,36.0,20.0,0.56
2007,SAN ALBERTO,18.0,14.0,7.5,0.54
2007,SAN MARTIN,27.0,27.0,22.0,0.81
2007,VALLEDUPAR,4621.0,4621.0,2400.0,0.52
2008,AGUACHICA,960.0,960.0,576.0,0.6
2008,AGUSTIN CODAZZI,5067.0,5067.0,2533.5,0.5
2008,BECERRIL,450.0,450.0,270.0,0.6
2008,CHIMICHAGUA,263.0,263.0,170.0,0.65
2008,CHIRIGUANA,362.0,362.0,181.0,0.5
2008,CURUMANI,325.0,325.0,195.0,0.6
2008,EL COPEY,750.0,750.0,405.0,0.54
2008,GONZALEZ,160.0,160.0,96.0,0.6
2008,LA GLORIA,140.0,80.0,64.0,0.8
2008,LA JAGUA DE IBIRICO,1200.0,1200.0,600.0,0.5
2008,LA PAZ,3229.0,3229.0,2099.0,0.65
2008,MANAURE,530.0,530.0,318.0,0.6
2008,PAILITAS,70.0,70.0,26.25,0.38
2008,PELAYA,28.0,28.0,17.0,0.61
2008,PUEBLO BELLO,5018.0,5018.0,3011.0,0.6
2008,RIO DE ORO,42.0,40.0,20.0,0.5
2008,SAN ALBERTO,68.0,18.0,11.0,0.61
2008,SAN MARTIN,27.0,27.0,14.0,0.52
2008,VALLEDUPAR,4621.0,4621.0,3234.7,0.7
2009,AGUACHICA,960.0,960.0,576.0,0.6
2009,AGUSTIN CODAZZI,5067.0,5067.0,2533.5,0.5
2009,BECERRIL,450.0,450.0,225.0,0.5
2009,CHIMICHAGUA,263.0,263.0,131.5,0.5
2009,CHIRIGUANA,362.0,362.0,181.0,0.5
2009,CURUMANI,333.0,333.0,199.8,0.6
2009,EL COPEY,750.0,750.0,375.0,0.5
2009,GONZALEZ,110.0,110.0,77.0,0.7
2009,LA GLORIA,170.0,80.0,64.0,0.8
2009,LA JAGUA DE IBIRICO,1200.0,1200.0,600.0,0.5
2009,LA PAZ,3229.0,3229.0,1937.4,0.6
2009,MANAURE,530.0,530.0,318.0,0.6
2009,PAILITAS,317.0,300.0,150.0,0.5
2009,PELAYA,28.0,28.0,14.0,0.5
2009,PUEBLO BELLO,5018.0,5018.0,3011.0,0.6
2009,RIO DE ORO,42.0,32.0,16.0,0.5
2009,SAN ALBERTO,81.0,68.0,40.8,0.6
2009,SAN MARTIN,24.0,19.0,9.5,0.5
2009,VALLEDUPAR,4621.0,4621.0,2310.5,0.5
2010,AGUACHICA,900.0,900.0,450.0,0.5
2010,AGUSTIN CODAZZI,5543.0,5282.0,2641.0,0.5
2010,BECERRIL,450.0,450.0,225.0,0.5
2010,CHIMICHAGUA,269.0,269.0,161.4,0.6
2010,CHIRIGUANA,362.0,362.0,162.9,0.45
2010,CURUMANI,265.65,195.0,117.0,0.6
2010,EL COPEY,900.0,900.0,540.0,0.6
2010,GONZALEZ,120.0,110.0,55.0,0.5
2010,LA GLORIA,173.0,170.0,136.0,0.8
2010,LA JAGUA DE IBIRICO,1193.0,1068.0,640.8,0.6
2010,LA PAZ,3402.0,3154.0,1892.4,0.6
2010,MANAURE,550.0,550.0,440.0,0.8
2010,PAILITAS,323.58,283.5,184.28,0.65
2010,PELAYA,28.0,28.0,14.0,0.5
2010,PUEBLO BELLO,5018.0,5018.0,3010.8,0.6
2010,RIO DE ORO,57.0,42.0,21.0,0.5
2010,SAN ALBERTO,101.0,81.0,48.6,0.6
2010,SAN MARTIN,15.0,15.0,7.5,0.5
2010,VALLEDUPAR,3612.0,3612.0,2528.4,0.7
2011,AGUACHICA,983.95,900.0,450.0,0.5
2011,AGUSTIN CODAZZI,6092.83,5543.0,1108.6,0.2
