Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,CARMEN DEL ATRATO,290.0,290.0,205.9,0.71
2008,CARMEN DEL ATRATO,90.0,90.0,68.0,0.76
2009,CARMEN DEL ATRATO,135.0,70.0,78.75,1.13
2010,CARMEN DEL ATRATO,190.0,157.5,98.0,0.62
2011,CARMEN DEL ATRATO,210.0,157.5,98.0,0.62
2012,CARMEN DEL ATRATO,200.0,70.0,140.0,2.0
2013,CARMEN DEL ATRATO,165.07,125.01,105.93,0.85
2014,CARMEN DEL ATRATO,160.6,136.88,125.42,0.92
2015,CARMEN DEL ATRATO,163.36,137.47,158.2,1.15
2016,CARMEN DEL ATRATO,163.59,134.96,160.62,1.19
2017,CARMEN DEL ATRATO,170.37,125.67,158.85,1.26
2018,CARMEN DEL ATRATO,170.91,140.33,181.42,1.29
2019,CARMEN DEL ATRATO,169.0,149.0,189.23,1.27
2020,CARMEN DEL ATRATO,178.0,162.0,196.54,1.21
2021,CARMEN DEL ATRATO,357.96,318.88,376.28,1.18
2022,CARMEN DEL ATRATO,171.19,144.14,157.68,1.09
2023,CARMEN DEL ATRATO,162.92,143.77,129.59,0.9
