Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,AGUA DE DIOS,17.1,17.1,2.56,0.15
2007,ALBAN,508.9,458.73,513.07,1.12
2007,ANAPOIMA,237.39,224.36,92.19,0.41
2007,ANOLAIMA,1228.46,1137.17,621.59,0.55
2007,APULO,115.52,113.68,50.18,0.44
2007,ARBELAEZ,696.92,649.34,230.4,0.35
2007,BELTRAN,115.92,109.58,68.45,0.62
2007,BITUIMA,543.84,514.32,264.42,0.51
2007,CABRERA,17.5,14.95,3.56,0.24
2007,CACHIPAY,1023.11,962.82,762.02,0.79
2007,CAPARRAPI,1326.31,1214.04,1184.89,0.98
2007,CAQUEZA,17.23,5.21,1.79,0.34
2007,CHAGUANI,1352.97,1217.19,1118.37,0.92
2007,EL COLEGIO,2041.28,1874.38,1199.09,0.64
2007,EL PEÑON,623.32,528.68,580.76,1.1
2007,FOSCA,20.33,12.3,11.39,0.93
2007,FUSAGASUGA,757.37,718.56,341.41,0.48
2007,GACHALA,0.1,0.1,0.01,0.09
2007,GACHETA,160.68,145.87,16.11,0.11
2007,GAMA,31.8,19.98,2.17,0.11
2007,GUADUAS,1267.61,1090.65,1067.5,0.98
2007,GUAYABAL DE SIQUIMA,1238.85,1160.75,629.44,0.54
2007,GUAYABETAL,20.98,0.0,0.0,0.0
2007,JERUSALEN,198.09,186.01,105.27,0.57
2007,JUNIN,42.32,34.9,3.81,0.11
2007,LA MESA,1334.86,1215.85,782.15,0.64
2007,LA PALMA,1818.29,1552.71,1752.33,1.13
2007,LA PEÑA,241.27,200.65,183.0,0.91
2007,LA VEGA,1096.22,924.74,1069.59,1.16
2007,MACHETA,79.96,30.11,4.0,0.13
2007,MANTA,110.15,107.73,11.27,0.1
2007,MEDINA,172.74,166.0,97.36,0.59
2007,NILO,786.16,740.66,561.18,0.76
2007,NIMAIMA,65.8,64.73,43.2,0.67
2007,NOCAIMA,59.23,48.01,49.32,1.03
2007,PACHO,1272.7,1055.98,1103.25,1.04
2007,PAIME,1107.68,1010.74,819.48,0.81
2007,PANDI,530.03,490.88,205.11,0.42
2007,PASCA,7.8,5.8,1.8399999999999999,0.32
2007,PULI,1209.7,1132.14,709.05,0.63
2007,QUEBRADANEGRA,118.57,106.11,81.51,0.77
2007,QUETAME,159.13,99.47,37.24,0.37
2007,QUIPILE,2019.69,1883.71,823.11,0.44
2007,SAN ANTONIO DEL TEQUENDAMA,552.74,505.39,260.4,0.52
2007,SAN BERNARDO,396.47,375.68,176.36,0.47
2007,SAN CAYETANO,754.32,620.49,744.63,1.2
2007,SAN FRANCISCO,645.88,545.22,544.73,1.0
2007,SAN JUAN DE RIOSECO,2997.41,2719.73,2018.13,0.74
2007,SASAIMA,1299.35,1139.41,1275.71,1.12
2007,SILVANIA,645.36,591.11,363.29,0.61
2007,SUPATA,1180.98,949.86,1169.73,1.23
2007,TENA,578.39,555.39,258.75,0.47
2007,TIBACUY,1276.76,1178.08,584.8,0.5
2007,TIBIRITA,38.53,10.76,2.24,0.21
2007,TOCAIMA,393.64,369.34,168.22,0.46
2007,TOPAIPI,827.79,704.9,734.95,1.04
2007,UBALA,9.26,6.1,1.33,0.22
2007,VENECIA,617.04,554.54,224.92,0.41
2007,VERGARA,1366.46,1123.58,1253.95,1.12
2007,VIANI,1147.8,1042.05,814.92,0.78
2007,VILLAGOMEZ,272.95,226.13,166.39,0.74
2007,VILLETA,212.08,189.89,133.87,0.7
2007,VIOTA,5075.37,4469.94,3729.96,0.83
2007,YACOPI,1981.08,1770.39,1831.17,1.03
2007,ZIPACON,132.15,122.63,66.27,0.54
2008,AGUA DE DIOS,17.1,17.1,2.56,0.15
2008,ALBAN,515.3,449.65,497.51,1.11
2008,ANAPOIMA,244.87,234.66,104.03,0.44
2008,ANOLAIMA,1240.26,1125.73,665.02,0.59
2008,APULO,124.2,120.23,45.18,0.38
2008,ARBELAEZ,700.64,640.18,256.65,0.4
2008,BELTRAN,118.66,112.36,74.18,0.66
2008,BITUIMA,577.87,547.18,292.34,0.53
2008,CABRERA,17.5,16.05,4.04,0.25
2008,CACHIPAY,1056.55,974.82,793.21,0.81
2008,CAPARRAPI,1355.77,1240.08,1205.25,0.97
2008,CAQUEZA,20.88,18.38,16.71,0.91
2008,CHAGUANI,1368.83,1202.45,1141.78,0.95
2008,EL COLEGIO,1960.58,1786.35,1092.09,0.61
2008,EL PEÑON,633.99,556.38,606.3,1.09
2008,FOMEQUE,19.46,0.4,0.36,0.9
2008,FOSCA,22.44,12.3,4.48,0.36
2008,FUSAGASUGA,790.12,732.06,365.72,0.5
2008,GACHALA,3.36,0.1,0.01,0.09
2008,GACHETA,206.02,173.77,23.67,0.14
2008,GAMA,36.85,34.35,9.97,0.29
2008,GUADUAS,1274.02,1093.65,1090.59,1.0
2008,GUAYABAL DE SIQUIMA,1283.99,1196.55,668.93,0.56
2008,GUAYABETAL,54.54,0.18,0.2,1.12
2008,JERUSALEN,208.28,192.02,1137.68,5.92
2008,JUNIN,64.01,34.9,37.85,1.08
2008,LA MESA,1358.03,1239.76,8264.54,6.67
2008,LA PALMA,1851.45,1598.06,1789.83,1.12
2008,LA PEÑA,256.82,221.04,2108.32,9.54
2008,LA VEGA,1103.52,925.57,1092.17,1.18
2008,MACHETA,119.38,65.72,170.87,2.6
2008,MANTA,138.18,107.73,112.74,1.05
2008,MEDINA,172.74,172.74,969.71,5.61
2008,NILO,787.22,687.01,5257.3,7.65
2008,NIMAIMA,65.54,62.07,442.78,7.13
2008,NOCAIMA,66.39,55.1,592.25,10.75
2008,PACHO,1278.49,1064.85,11231.73,10.55
2008,PAIME,1111.13,981.45,8046.61,8.2
2008,PANDI,530.59,519.48,2223.25,4.28
2008,PASCA,14.26,2.9,8.54,2.95
2008,PULI,1211.54,1144.47,7417.05,6.48
2008,QUEBRADANEGRA,119.55,112.73,90.61,0.8
2008,QUETAME,208.49,171.58,55.75,0.32
2008,QUIPILE,2021.69,1871.73,874.46,0.47
2008,SAN ANTONIO DEL TEQUENDAMA,550.14,500.16,278.32,0.56
2008,SAN BERNARDO,388.81,358.93,185.33,0.52
2008,SAN CAYETANO,780.31,652.23,791.66,1.21
2008,SAN FRANCISCO,603.9,517.37,541.74,1.05
2008,SAN JUAN DE RIOSECO,3025.15,2741.24,2095.88,0.76
2008,SASAIMA,1323.96,1104.96,1229.29,1.11
2008,SILVANIA,639.8,573.6,370.15,0.65
2008,SUPATA,1246.58,996.43,1242.97,1.25
2008,TENA,575.42,544.48,264.91,0.49
2008,TIBACUY,1273.75,1161.91,595.47,0.51
2008,TIBIRITA,55.54,32.87,13.59,0.41
2008,TOCAIMA,395.09,384.43,195.75,0.51
2008,TOPAIPI,861.27,745.71,783.39,1.05
2008,UBALA,32.83,14.01,3.76,0.27
2008,VENECIA,625.79,588.69,246.04,0.42
2008,VERGARA,1380.49,1123.26,1303.49,1.16
2008,VIANI,1170.28,1076.72,865.04,0.8
2008,VILLAGOMEZ,275.21,242.02,179.62,0.74
2008,VILLETA,216.31,201.18,160.77,0.8
2008,VIOTA,5114.66,4668.43,4107.55,0.88
2008,YACOPI,1986.17,1767.84,1842.49,1.04
2008,ZIPACON,136.53,121.01,72.75,0.6
2009,AGUA DE DIOS,17.1,17.1,2.56,0.15
2009,ALBAN,516.3,466.7,520.83,1.12
2009,ANAPOIMA,244.42,238.67,109.32,0.46
2009,ANOLAIMA,1270.62,1188.49,732.84,0.62
2009,APULO,128.57,120.63,46.33,0.38
2009,ARBELAEZ,717.76,676.2,305.24,0.45
2009,BELTRAN,118.47,108.33,79.33,0.73
2009,BITUIMA,589.79,554.59,298.28,0.54
2009,CABRERA,27.64,18.78,7.8,0.42
2009,CACHIPAY,1071.76,990.11,815.95,0.82
2009,CAPARRAPI,1111.71,1021.08,1118.52,1.1
2009,CAQUEZA,27.8,20.51,22.15,1.08
