Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ACEVEDO,8837.25,8378.98,12149.52,1.45
2007,AGRADO,881.5,798.99,1118.59,1.4
2007,AIPE,1077.37,1010.61,1414.85,1.4
2007,ALGECIRAS,4151.98,3848.39,4618.07,1.2
2007,ALTAMIRA,58.39,54.74,76.64,1.4
2007,BARAYA,987.38,947.61,1231.89,1.3
2007,CAMPOALEGRE,1324.56,1179.34,1651.08,1.4
2007,COLOMBIA,1324.82,1260.78,1765.09,1.4
2007,ELIAS,546.64,533.74,773.92,1.45
2007,GARZON,7970.11,7485.14,10853.45,1.45
2007,GIGANTE,4411.95,4091.05,5932.02,1.45
2007,GUADALUPE,2666.51,2442.57,3419.6,1.4
2007,HOBO,964.71,916.47,1283.06,1.4
2007,IQUIRA,1420.03,1287.81,1609.76,1.25
2007,ISNOS,2001.11,1819.08,2637.67,1.45
2007,LA ARGENTINA,1813.25,1687.68,2531.5,1.5
2007,LA PLATA,6068.99,5555.48,8333.2,1.5
2007,NATAGA,1131.79,1040.01,1560.0,1.5
2007,NEIVA,2926.76,2674.01,3743.61,1.4
2007,OPORAPA,1887.25,1763.02,2556.38,1.45
2007,PAICOL,864.22,795.26,1113.36,1.4
2007,PALERMO,1944.8,1781.75,2672.6,1.5
2007,PALESTINA,2942.01,2788.37,4043.14,1.45
2007,PITAL,3177.26,2887.1,4041.94,1.4
2007,PITALITO,11315.79,10732.52,16098.78,1.5
2007,RIVERA,687.7,661.6,959.32,1.45
2007,SALADOBLANCO,2091.32,2019.49,2928.26,1.45
2007,SAN AGUSTIN,4089.96,3898.1,5652.24,1.45
2007,SANTA MARIA,2466.73,2298.39,3332.67,1.45
2007,SUAZA,2462.11,2268.06,3288.69,1.45
2007,TARQUI,2483.28,2185.71,3169.28,1.45
2007,TELLO,2896.48,2611.49,3656.09,1.4
2007,TERUEL,2331.73,2021.05,2930.52,1.45
2007,TESALIA,435.99,403.22,604.8,1.5
2007,TIMANA,3786.18,3533.95,5300.93,1.5
2008,ACEVEDO,9335.41,8548.1,12822.2,1.5
2008,AGRADO,878.37,723.7,1049.39,1.45
2008,AIPE,929.13,745.3,1117.91,1.5
2008,ALGECIRAS,4676.11,3884.0,5437.61,1.4
2008,ALTAMIRA,55.26,50.5,63.15,1.25
2008,BARAYA,827.24,749.9,1120.37,1.49
2008,CAMPOALEGRE,1412.86,1083.2,1624.38,1.5
2008,COLOMBIA,1480.72,1340.8,2011.25,1.5
2008,ELIAS,561.45,404.5,606.74,1.5
2008,GARZON,8087.74,7055.8,10442.63,1.48
2008,GIGANTE,4521.65,3730.3,5222.46,1.4
2008,GUADALUPE,3097.48,2733.6,4264.38,1.56
2008,HOBO,952.85,815.6,1141.84,1.4
2008,IQUIRA,1608.42,1387.1,1941.94,1.4
2008,ISNOS,2429.01,2198.5,3297.72,1.5
2008,LA ARGENTINA,1876.8,1573.6,2329.0,1.48
2008,LA PLATA,6599.12,5599.2,8118.8,1.45
2008,NATAGA,1314.1,1069.8,1444.23,1.35
2008,NEIVA,3156.42,2717.6,3940.46,1.45
2008,OPORAPA,2024.16,1820.0,2729.93,1.5
2008,PAICOL,1004.81,845.0,1225.18,1.45
2008,PALERMO,2063.06,1721.7,2496.52,1.45
2008,PALESTINA,3270.25,2894.0,4340.97,1.5
2008,PITAL,3575.23,2888.8,4333.16,1.5
2008,PITALITO,12279.27,10882.0,16323.32,1.5
2008,RIVERA,701.93,626.4,845.64,1.35
2008,SALADOBLANCO,2250.0,2033.6,2948.75,1.45
2008,SAN AGUSTIN,4067.97,3746.7,5620.11,1.5
2008,SANTA MARIA,2615.58,2231.6,3235.85,1.45
2008,SUAZA,2983.15,2593.8,3890.72,1.5
2008,TARQUI,2822.93,2363.8,3427.57,1.45
2008,TELLO,2975.73,2510.8,3766.16,1.5
