Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ARACATACA,1055.0,1025.0,820.0,0.8
2007,CIENAGA,9156.0,9156.0,7325.0,0.8
2007,FUNDACION,2145.0,2145.0,1716.0,0.8
2007,SANTA MARTA,5180.0,5180.0,4144.0,0.8
2008,ARACATACA,1055.0,1040.0,832.0,0.8
2008,CIENAGA,9156.0,9156.0,7325.0,0.8
2008,FUNDACION,2145.0,2145.0,1716.0,0.8
2008,SANTA MARTA,5180.0,5180.0,4144.0,0.8
2009,ARACATACA,1055.0,1055.0,844.0,0.8
2009,CIENAGA,10798.0,9156.0,7324.8,0.8
2009,FUNDACION,2145.0,2145.0,1500.0,0.7
2009,SANTA MARTA,5180.0,4680.0,3744.0,0.8
2010,ARACATACA,1055.0,1055.0,844.0,0.8
2010,CIENAGA,10918.0,9656.0,7724.8,0.8
2010,FUNDACION,2145.0,2145.0,1716.0,0.8
2010,SANTA MARTA,4662.0,4144.0,3315.2,0.8
2011,ARACATACA,1060.0,950.0,800.0,0.84
2011,CIENAGA,10918.0,9856.0,7884.8,0.8
2011,FUNDACION,2157.0,2145.0,1716.0,0.8
2011,SANTA MARTA,5099.0,3626.0,2900.8,0.8
2012,ARACATACA,1060.0,1055.0,791.25,0.75
2012,CIENAGA,10918.0,9900.0,7920.0,0.8
2012,FUNDACION,2257.0,2150.0,1720.0,0.8
2012,SANTA MARTA,5219.0,4581.0,3664.8,0.8
2013,ARACATACA,1050.56,780.49,467.87,0.6
2013,CIENAGA,12314.56,9830.25,5892.84,0.6
2013,FUNDACION,2656.43,2205.14,1321.89,0.6
2013,SANTA MARTA,5241.65,4200.84,2518.23,0.6
2014,ARACATACA,1096.1,916.19,593.87,0.65
2014,CIENAGA,12368.91,10800.56,7000.81,0.65
2014,FUNDACION,2602.26,2309.34,1496.89,0.65
2014,SANTA MARTA,5204.26,4507.02,2921.41,0.65
2015,ARACATACA,1057.69,823.35,912.19,1.11
2015,CIENAGA,11596.18,10212.3,9705.33,0.95
2015,FUNDACION,2648.73,2393.18,2134.49,0.89
2015,SANTA MARTA,5089.24,4567.48,3939.29,0.86
2016,ARACATACA,1100.39,839.74,962.16,1.15
2016,CIENAGA,11691.06,10093.32,9920.32,0.98
2016,FUNDACION,2666.1,2361.49,2178.26,0.92
2016,SANTA MARTA,5059.26,4451.25,3970.35,0.89
2017,ARACATACA,1047.81,880.78,579.98,0.66
2017,CIENAGA,11563.71,10242.32,6744.35,0.66
2017,FUNDACION,2579.29,2380.94,1567.8,0.66
2017,SANTA MARTA,4978.94,4625.46,3045.77,0.66
2018,ARACATACA,1053.56,880.94,547.67,0.62
2018,CIENAGA,10877.02,9564.4,5946.06,0.62
2018,FUNDACION,2548.79,2348.64,1460.12,0.62
2018,SANTA MARTA,5005.77,4620.34,2872.4,0.62
2019,ARACATACA,1100.0,1088.0,1196.8,1.1
2019,CIENAGA,10780.0,10780.0,7546.0,0.7
2019,FUNDACION,2736.0,2736.0,2188.8,0.8
2019,SANTA MARTA,5200.0,4680.0,3182.4,0.68
2020,ARACATACA,1075.0,934.0,1120.8,1.2
2020,CIENAGA,10780.0,10780.0,7546.0,0.7
2020,FUNDACION,2865.0,2689.0,1613.4,0.6
2020,SANTA MARTA,3553.0,3254.0,2212.72,0.68
2021,ARACATACA,2273.0,1981.38,1624.73,0.82
2021,CIENAGA,21103.74,18936.72,11172.66,0.59
2021,FUNDACION,4818.78,4431.92,3235.3,0.73
2021,SANTA MARTA,7123.94,6378.48,3827.09,0.6
2022,ARACATACA,1143.64,986.37,765.5,0.78
2022,CIENAGA,10814.65,9606.64,5524.11,0.58
2022,FUNDACION,2207.01,1965.53,1455.35,0.74
2022,SANTA MARTA,3380.27,3006.36,1744.2,0.58
2023,ARACATACA,1162.5,998.51,780.08,0.78
2023,CIENAGA,10866.34,9437.9,4962.65,0.53
2023,FUNDACION,2216.38,1925.47,1416.95,0.74
2023,SANTA MARTA,3426.61,3094.13,1714.49,0.55
