Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ACACIAS,5.0,5.0,4.0,0.8
2007,BARRANCA DE UPIA,25.0,25.0,21.0,0.84
2007,CASTILLA LA NUEVA,1.0,1.0,0.7,0.7
2007,CUMARAL,18.0,18.0,21.0,1.17
2007,EL CALVARIO,20.0,1.0,0.5,0.5
2007,EL CASTILLO,248.0,210.0,123.0,0.59
2007,EL DORADO,156.0,155.0,85.0,0.55
2007,GUAMAL,10.0,10.0,5.0,0.5
2007,LA URIBE,10.0,10.0,7.0,0.7
2007,LEJANIAS,710.0,660.0,420.0,0.64
2007,MESETAS,541.0,370.0,200.0,0.54
2007,PUERTO RICO,3.0,3.0,1.0,0.33
2007,RESTREPO,47.0,38.0,42.0,1.11
2007,SAN JUAN DE ARAMA,127.0,15.0,9.0,0.6
2007,SAN JUANITO,7.0,5.0,4.0,0.8
2007,SAN LUIS DE CUBARRAL,527.0,517.0,672.0,1.3
2007,VILLAVICENCIO,13.0,5.0,2.0,0.4
2008,ACACIAS,5.0,5.0,5.0,1.0
2008,BARRANCA DE UPIA,25.0,25.0,20.0,0.8
2008,CASTILLA LA NUEVA,1.0,1.0,0.7,0.7
2008,CUMARAL,18.0,18.0,18.0,1.0
2008,EL CALVARIO,24.0,20.0,10.0,0.5
2008,EL CASTILLO,196.0,196.0,117.6,0.6
2008,EL DORADO,153.0,140.0,84.0,0.6
2008,GUAMAL,8.0,8.0,4.0,0.5
2008,LA URIBE,50.0,10.0,7.0,0.7
2008,LEJANIAS,721.0,680.0,408.0,0.6
2008,MESETAS,604.0,450.0,270.5,0.6
2008,PUERTO RICO,5.0,2.0,0.66,0.33
2008,RESTREPO,47.0,47.0,23.5,0.5
2008,SAN JUAN DE ARAMA,106.0,15.0,9.0,0.6
2008,SAN JUANITO,7.0,7.0,4.9,0.7
2008,SAN LUIS DE CUBARRAL,518.0,517.0,672.1,1.3
2008,VILLAVICENCIO,21.0,5.0,2.0,0.4
2009,ACACIAS,5.0,5.0,5.0,1.0
2009,BARRANCA DE UPIA,25.0,25.0,20.0,0.8
2009,CASTILLA LA NUEVA,1.0,1.0,0.7,0.7
2009,CUMARAL,19.0,18.0,18.0,1.0
2009,EL CALVARIO,24.0,20.0,10.0,0.5
2009,EL CASTILLO,196.0,196.0,117.6,0.6
2009,EL DORADO,153.0,140.0,84.0,0.6
2009,GUAMAL,8.0,8.0,4.0,0.5
2009,LA URIBE,80.0,10.0,7.0,0.7
2009,LEJANIAS,709.0,700.0,420.0,0.6
2009,MESETAS,600.0,450.0,250.0,0.56
2009,PUERTO RICO,7.0,2.0,0.8,0.4
2009,RESTREPO,47.0,47.0,23.5,0.5
2009,SAN JUAN DE ARAMA,104.0,60.0,30.0,0.5
2009,SAN JUANITO,7.0,7.0,4.9,0.7
2009,SAN LUIS DE CUBARRAL,517.0,517.0,672.1,1.3
2009,VILLAVICENCIO,21.0,10.0,5.0,0.5
2010,ACACIAS,25.0,5.0,6.5,1.3
2010,BARRANCA DE UPIA,10.0,5.0,4.0,0.8
2010,CASTILLA LA NUEVA,1.0,1.0,0.7,0.7
2010,CUMARAL,19.0,18.0,18.0,1.0
2010,EL CALVARIO,20.0,4.0,4.0,1.0
2010,EL CASTILLO,202.0,196.0,117.6,0.6
2010,EL DORADO,153.0,95.0,57.0,0.6
2010,GUAMAL,8.0,4.0,2.0,0.5
2010,LA URIBE,90.0,45.0,31.5,0.7
2010,LEJANIAS,815.0,730.0,876.0,1.2
2010,MESETAS,600.0,541.0,270.5,0.5
2010,PUERTO RICO,5.0,5.0,3.0,0.6
2010,RESTREPO,48.0,48.0,24.0,0.5
2010,SAN JUAN DE ARAMA,104.0,90.0,29.7,0.33
2010,SAN JUANITO,5.0,2.0,1.4,0.7
2010,SAN LUIS DE CUBARRAL,720.0,517.0,750.0,1.45
2010,VILLAVICENCIO,95.0,20.0,26.0,1.3
2011,ACACIAS,30.0,25.0,31.25,1.25
2011,BARRANCA DE UPIA,5.0,5.0,4.0,0.8
2011,CASTILLA LA NUEVA,6.0,1.0,0.7,0.7
2011,CUMARAL,36.0,36.0,36.0,1.0
2011,EL CALVARIO,20.0,20.0,20.0,1.0
2011,EL CASTILLO,206.0,200.0,120.0,0.6
2011,EL DORADO,213.0,95.0,57.0,0.6
2011,GUAMAL,12.0,8.0,4.0,0.5
2011,LA URIBE,30.0,20.0,14.0,0.7
2011,LEJANIAS,950.0,800.0,960.0,1.2
2011,MESETAS,700.0,500.0,250.0,0.5
2011,PUERTO RICO,5.0,5.0,2.5,0.5
2011,RESTREPO,40.0,40.0,20.0,0.5
2011,SAN JUAN DE ARAMA,195.0,90.0,29.7,0.33
2011,SAN JUANITO,8.0,8.0,5.6,0.7
2011,SAN LUIS DE CUBARRAL,720.0,625.0,865.0,1.38
2011,VILLAVICENCIO,95.0,80.0,100.0,1.25
2011,VISTA HERMOSA,30.0,20.0,14.0,0.7
2012,ACACIAS,70.0,25.0,18.75,0.75
2012,BARRANCA DE UPIA,5.0,0.0,0.0,0.0
2012,CASTILLA LA NUEVA,1.0,0.0,0.0,0.0
2012,CUMARAL,12.0,12.0,9.0,0.75
2012,EL CALVARIO,46.0,20.0,10.0,0.5
2012,EL CASTILLO,225.0,196.0,117.6,0.6
2012,EL DORADO,196.0,136.0,81.6,0.6
2012,GUAMAL,20.0,12.0,6.0,0.5
2012,LA URIBE,190.0,45.0,33.75,0.75
2012,LEJANIAS,1000.0,815.0,978.0,1.2
2012,MESETAS,952.0,750.0,375.0,0.5
2012,PUERTO RICO,5.0,0.0,0.0,0.0
2012,RESTREPO,20.0,20.0,15.0,0.75
2012,SAN JUAN DE ARAMA,240.0,180.0,59.4,0.33
2012,SAN JUANITO,13.0,7.0,5.25,0.75
2012,SAN LUIS DE CUBARRAL,450.0,450.0,337.5,0.75
2012,VILLAVICENCIO,107.0,95.0,71.25,0.75
2012,VISTA HERMOSA,30.0,20.0,15.0,0.75
2013,CUMARAL,24.91,11.91,8.9,0.75
2013,EL CASTILLO,209.79,102.8,57.65,0.56
2013,EL DORADO,212.04,133.01,91.99,0.69
2013,LEJANIAS,855.06,583.75,420.09,0.72
2013,MESETAS,1536.39,1059.39,594.06,0.56
2013,RESTREPO,22.65,14.84,11.1,0.75
2013,SAN JUAN DE ARAMA,241.95,185.46,173.33,0.93
2013,SAN LUIS DE CUBARRAL,372.67,299.9,224.23,0.75
2013,VILLAVICENCIO,127.89,92.37,69.06,0.75
2014,CUMARAL,21.51,16.51,13.35,0.81
2014,EL CASTILLO,208.46,143.54,87.03,0.61
2014,EL DORADO,234.28,167.64,125.36,0.75
2014,LEJANIAS,755.5,598.87,466.0,0.78
2014,MESETAS,1463.94,1207.05,731.88,0.61
2014,RESTREPO,27.16,19.66,15.89,0.81
2014,SAN JUAN DE ARAMA,232.56,184.08,186.03,1.01
2014,SAN LUIS DE CUBARRAL,359.4,306.34,247.66,0.81
