Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ALBAN,1472.0,1005.0,1440.0,1.43
2007,ANCUYA,280.0,255.0,288.0,1.13
2007,ARBOLEDA,1040.0,1040.0,1248.0,1.2
2007,BELEN,36.0,33.0,29.7,0.9
2007,BUESACO,1950.0,1800.0,1710.0,0.95
2007,CHACHAGUI,447.0,427.0,417.0,0.98
2007,COLON,2205.0,1788.0,2682.0,1.5
2007,CONSACA,1650.0,1637.0,1637.0,1.0
2007,CUMBITARA,56.0,46.0,36.8,0.8
2007,EL PEÑOL,390.0,380.0,380.0,1.0
2007,EL ROSARIO,516.0,466.0,326.2,0.7
2007,EL TABLON,650.0,570.0,622.0,1.09
2007,EL TAMBO,491.0,461.0,461.0,1.0
2007,FUNES,34.0,26.0,28.6,1.1
2007,GUAITARILLA,98.0,91.0,80.9,0.89
2007,LA CRUZ,75.0,73.0,58.4,0.8
2007,LA FLORIDA,1211.0,1026.0,1231.0,1.2
2007,LA LLANADA,37.5,31.5,47.25,1.5
2007,LA UNION,4424.0,3684.0,7000.0,1.9
2007,LEIVA,576.0,476.0,571.2,1.2
2007,LINARES,670.0,640.0,768.0,1.2
2007,LOS ANDES,959.0,869.0,873.0,1.0
2007,MALLAMA,56.0,41.0,26.65,0.65
2007,NARIÑO,16.0,13.0,14.3,1.1
2007,PASTO,220.0,180.0,260.0,1.44
2007,POLICARPA,180.0,100.0,70.0,0.7
2007,PROVIDENCIA,76.0,76.0,68.7,0.9
2007,SAMANIEGO,1215.0,1185.0,1185.0,1.0
2007,SAN BERNARDO,229.0,218.0,187.5,0.86
2007,SAN LORENZO,2680.0,1796.0,2712.0,1.51
2007,SAN PABLO,850.0,850.0,1445.0,1.7
2007,SAN PEDRO DE CARTAGO,385.0,319.0,414.7,1.3
2007,SANDONA,1468.0,1327.0,1991.0,1.5
2007,SANTACRUZ,164.0,152.0,182.4,1.2
2007,TAMINANGO,1355.0,1225.0,1139.25,0.93
2007,TANGUA,35.0,25.0,12.5,0.5
2007,YACUANQUER,135.0,127.0,125.0,0.98
2008,ALBAN,1498.0,1400.0,1960.0,1.4
2008,ANCUYA,289.5,259.5,129.75,0.5
2008,ARBOLEDA,1140.0,1040.0,1368.0,1.32
2008,BELEN,38.0,32.0,28.8,0.9
2008,BUESACO,2000.0,1850.0,1850.0,1.0
2008,CHACHAGUI,462.0,417.0,417.0,1.0
2008,COLON,2300.0,2201.0,3302.0,1.5
2008,CONSACA,1729.0,1449.0,2028.6,1.4
2008,CUMBITARA,180.0,50.0,50.0,1.0
2008,EL PEÑOL,440.0,390.0,390.0,1.0
2008,EL ROSARIO,980.0,260.0,182.0,0.7
2008,EL TABLON,800.0,670.0,670.0,1.0
2008,EL TAMBO,591.0,491.0,491.0,1.0
2008,FUNES,64.0,29.0,33.0,1.1400000000000001
2008,GUAITARILLA,111.0,90.0,58.5,0.65
2008,IMUES,16.0,13.0,14.0,1.08
2008,LA CRUZ,81.0,74.0,59.2,0.8
2008,LA FLORIDA,1225.0,1025.0,717.5,0.7
2008,LA LLANADA,74.0,38.0,57.0,1.5
2008,LA UNION,4480.0,4300.0,7095.0,1.65
2008,LEIVA,582.0,476.0,571.2,1.2
2008,LINARES,706.0,641.0,769.2,1.2
2008,LOS ANDES,1039.0,869.0,887.0,1.02
2008,MALLAMA,59.0,56.0,56.0,1.0
2008,NARIÑO,48.0,14.0,14.0,1.0
2008,PASTO,229.0,180.0,252.0,1.4
2008,POLICARPA,190.0,100.0,100.0,1.0
2008,PROVIDENCIA,55.0,30.0,24.0,0.8
2008,SAMANIEGO,1215.0,1115.0,850.5,0.76
2008,SAN BERNARDO,226.0,215.0,215.0,1.0
2008,SAN LORENZO,2900.0,2062.0,2680.6,1.3
2008,SAN PABLO,870.0,850.0,1020.0,1.2
2008,SAN PEDRO DE CARTAGO,369.0,319.0,414.7,1.3
2008,SANDONA,1498.0,1100.0,1235.0,1.12
2008,SANTACRUZ,155.0,144.0,115.0,0.8
2008,TAMINANGO,1398.0,1203.0,1022.0,0.85
2008,TANGUA,37.0,12.5,6.25,0.5
2008,YACUANQUER,145.0,117.0,128.7,1.1
2009,ALBAN,1524.0,1470.0,2205.0,1.5
2009,ANCUYA,204.75,178.2,35.64,0.2
2009,ARBOLEDA,1340.0,1040.0,1040.0,1.0
2009,BELEN,39.0,37.0,33.3,0.9
2009,BUESACO,2035.0,1785.0,1249.5,0.7
2009,CHACHAGUI,467.0,447.0,223.5,0.5
2009,COLON,2490.0,2200.0,2458.0,1.12
2009,CONSACA,1754.0,1449.0,1738.8,1.2
2009,CUMBAL,8.5,5.0,3.5,0.7
2009,CUMBITARA,180.0,100.0,100.0,1.0
2009,EL PEÑOL,460.0,390.0,390.0,1.0
2009,EL ROSARIO,980.0,513.0,515.0,1.0
2009,EL TABLON,820.0,770.0,770.0,1.0
2009,EL TAMBO,651.0,571.0,378.6,0.66
2009,FUNES,68.0,58.0,63.0,1.09
2009,GUAITARILLA,139.0,86.0,52.0,0.6
2009,IMUES,20.0,15.0,13.5,0.9
2009,LA CRUZ,84.0,79.0,63.2,0.8
2009,LA FLORIDA,1225.0,1025.0,1230.0,1.2
2009,LA LLANADA,74.0,38.0,38.0,1.0
2009,LA UNION,4442.0,3782.0,4338.0,1.15
2009,LEIVA,630.0,580.0,696.0,1.2
2009,LINARES,742.0,670.0,611.07,0.91
2009,LOS ANDES,1059.0,959.0,593.4,0.62
2009,MALLAMA,58.0,57.0,68.4,1.2
2009,NARIÑO,48.0,16.0,6.0,0.38
2009,PASTO,234.0,220.0,312.4,1.42
2009,POLICARPA,210.0,170.0,34.0,0.2
2009,PROVIDENCIA,35.0,30.0,24.0,0.8
2009,SAMANIEGO,1725.0,1215.0,851.0,0.7
2009,SAN BERNARDO,236.0,220.0,198.0,0.9
2009,SAN LORENZO,3125.0,2700.0,2700.0,1.0
2009,SAN PABLO,870.0,820.0,820.0,1.0
2009,SAN PEDRO DE CARTAGO,363.0,358.0,429.6,1.2
2009,SANDONA,1528.0,1132.0,1698.0,1.5
2009,SANTACRUZ,155.0,155.0,109.0,0.7
2009,TAMINANGO,1380.0,960.0,1248.0,1.3
2009,TANGUA,37.0,32.0,28.8,0.9
2009,YACUANQUER,150.0,135.0,121.5,0.9
2010,ALBAN,1515.0,1250.0,1875.0,1.5
2010,ANCUYA,212.7,177.7,213.24,1.2
2010,ARBOLEDA,1460.0,1140.0,798.0,0.7
2010,BELEN,41.0,28.75,36.8,1.28
2010,BUESACO,2420.25,1940.25,1940.25,1.0
2010,CHACHAGUI,477.0,427.0,427.0,1.0
2010,COLON,3412.0,2357.0,2318.0,0.98
2010,CONSACA,1799.0,819.0,737.1,0.9
2010,CUMBAL,8.5,8.5,5.95,0.7
2010,CUMBITARA,180.0,140.0,126.0,0.9
2010,EL PEÑOL,510.0,440.0,460.0,1.05
2010,EL ROSARIO,1362.0,972.0,874.8,0.9
2010,EL TABLON,845.0,760.0,760.0,1.0
2010,EL TAMBO,601.0,571.0,342.6,0.6
2010,FUNES,78.0,64.0,83.0,1.3
2010,GUAITARILLA,146.0,135.0,83.0,0.61
2010,IMUES,20.0,18.0,18.9,1.05
2010,IPIALES,23.0,18.0,23.4,1.3
2010,LA CRUZ,89.0,84.0,67.2,0.8
2010,LA FLORIDA,1239.0,1039.0,1246.8,1.2
2010,LA LLANADA,68.0,64.0,64.0,1.0
2010,LA UNION,3554.0,2814.0,3376.8,1.2
2010,LEIVA,637.0,587.0,704.4,1.2
2010,LINARES,755.0,670.0,651.2,0.97
2010,LOS ANDES,724.0,604.0,302.0,0.5
2010,MALLAMA,66.0,59.0,59.0,1.0
2010,NARIÑO,44.45,41.85,37.66,0.9
2010,PASTO,234.0,219.0,328.5,1.5
2010,POLICARPA,360.0,190.0,84.0,0.44
2010,PROVIDENCIA,35.0,30.0,24.0,0.8
2010,RICAURTE,3.5,2.5,1.75,0.7
2010,SAMANIEGO,1737.0,1215.0,851.0,0.7
2010,SAN BERNARDO,141.0,105.0,94.5,0.9
2010,SAN LORENZO,3080.0,1580.0,1738.0,1.1
2010,SAN PABLO,900.0,590.0,708.0,1.2
2010,SAN PEDRO DE CARTAGO,353.0,313.0,313.0,1.0
2010,SANDONA,1489.0,1132.0,1358.4,1.2
2010,SANTACRUZ,159.0,151.0,226.5,1.5
2010,TAMINANGO,990.0,580.0,1044.0,1.8
2010,TANGUA,50.5,37.0,33.75,0.91
2010,YACUANQUER,150.5,130.5,156.6,1.2
2011,ALBAN,1565.0,1375.0,2062.5,1.5
2011,ANCUYA,212.8,183.8,147.04,0.8
2011,ARBOLEDA,1410.0,160.0,112.0,0.7
2011,BELEN,46.0,32.0,48.0,1.5
2011,BUESACO,2780.0,2140.0,2140.0,1.0
2011,CHACHAGUI,472.0,407.0,407.0,1.0
2011,COLON,4447.0,2997.0,2997.0,1.0
2011,CONSACA,1841.0,1705.0,1705.0,1.0
2011,CUMBAL,12.0,6.0,3.6,0.6
2011,CUMBITARA,165.0,130.0,117.0,0.9
2011,EL CHARCO,2.0,2.0,2.0,1.0
2011,EL PEÑOL,600.0,570.0,570.0,1.0
2011,EL ROSARIO,1702.0,1052.0,841.6,0.8
2011,EL TABLON,885.5,775.5,775.5,1.0
2011,EL TAMBO,590.0,490.0,196.0,0.4
2011,FUNES,81.0,74.0,65.4,0.88
2011,GUAITARILLA,136.0,110.0,76.8,0.7
2011,IMUES,8.0,6.0,6.6,1.1
2011,IPIALES,23.0,23.0,27.6,1.2
2011,LA CRUZ,88.0,86.0,73.96,0.86
2011,LA FLORIDA,1239.0,1224.0,1591.2,1.3
2011,LA LLANADA,82.0,76.0,76.0,1.0
2011,LA UNION,4035.0,2035.0,2442.0,1.2
2011,LEIVA,647.0,443.0,443.0,1.0
2011,LINARES,810.0,700.0,630.0,0.9
2011,LOS ANDES,724.0,654.0,523.2,0.8
2011,MALLAMA,65.0,45.0,45.0,1.0
2011,NARIÑO,8.0,6.0,5.4,0.9
2011,PASTO,234.0,219.0,262.8,1.2
2011,POLICARPA,500.0,419.0,419.0,1.0
2011,PROVIDENCIA,40.0,35.0,28.0,0.8
2011,RICAURTE,2.5,2.5,1.75,0.7
2011,SAMANIEGO,2150.0,1450.0,1015.0,0.7
2011,SAN BERNARDO,124.0,70.0,35.0,0.5
2011,SAN LORENZO,3080.0,1380.0,1380.0,1.0
2011,SAN PABLO,220.0,210.0,189.0,0.9
2011,SAN PEDRO DE CARTAGO,373.0,348.0,348.0,1.0
2011,SANDONA,1291.0,1072.0,751.0,0.7
2011,SANTACRUZ,184.0,150.0,90.0,0.6
2011,TAMINANGO,1350.0,1250.0,1250.0,1.0
2011,TANGUA,42.0,32.0,32.0,1.0
2011,TUMACO,4.0,4.0,4.0,1.0
2011,YACUANQUER,150.0,115.0,138.0,1.2
2012,ALBAN,745.0,535.0,401.25,0.75
2012,ANCUYA,181.9,171.9,34.38,0.2
2012,ARBOLEDA,460.0,0.0,0.0,0.0
2012,BELEN,46.0,35.0,17.5,0.5
2012,BUESACO,2940.0,2480.0,2976.0,1.2
2012,CHACHAGUI,482.0,467.0,467.0,1.0
2012,COLON,4460.0,4395.0,5274.0,1.2
2012,CONSACA,1871.0,1629.0,1954.8,1.2
2012,CUMBAL,15.0,12.0,7.2,0.6
2012,CUMBITARA,162.0,155.0,139.5,0.9
2012,EL PEÑOL,910.0,440.0,264.0,0.6
2012,EL ROSARIO,1902.0,1402.0,701.0,0.5
2012,EL TABLON,765.0,725.0,725.0,1.0
2012,EL TAMBO,440.0,140.0,70.0,0.5
2012,FUNES,135.0,75.0,75.0,1.0
2012,GUAITARILLA,48.0,41.0,15.51,0.38
2012,IMUES,8.0,8.0,8.8,1.1
2012,IPIALES,23.0,23.0,27.6,1.2
2012,LA CRUZ,97.0,88.0,44.0,0.5
2012,LA FLORIDA,1245.0,1214.0,1456.8,1.2
2012,LA LLANADA,76.0,64.0,44.4,0.69
2012,LA UNION,4909.0,3307.0,3968.4,1.2
2012,LEIVA,658.0,635.0,762.0,1.2
2012,LINARES,678.0,538.0,482.05,0.9
2012,LOS ANDES,1025.0,1004.0,401.6,0.4
2012,MALLAMA,68.0,66.0,66.0,1.0
2012,NARIÑO,9.0,4.0,4.0,1.0
2012,PASTO,239.0,224.0,268.8,1.2
2012,POLICARPA,440.0,170.0,127.5,0.75
2012,PROVIDENCIA,40.0,33.0,26.4,0.8
2012,PUERRES,25.0,0.0,0.0,0.0
2012,RICAURTE,2.5,2.5,1.88,0.75
2012,SAMANIEGO,2400.0,2000.0,1500.0,0.75
2012,SAN BERNARDO,204.0,120.0,90.0,0.75
2012,SAN LORENZO,3100.0,2400.0,2835.0,1.18
2012,SAN PABLO,2000.0,220.0,264.0,1.2
2012,SAN PEDRO DE CARTAGO,751.0,31.0,37.2,1.2
2012,SANDONA,1573.0,1353.0,1028.28,0.76
