Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ABREGO,492.04,455.94,188.06,0.41
2007,ARBOLEDAS,2127.61,2065.62,757.1,0.37
2007,BOCHALEMA,773.36,748.36,263.68,0.35
2007,BUCARASICA,907.94,858.01,441.5,0.51
2007,CACHIRA,757.15,662.97,327.69,0.49
2007,CHINACOTA,851.5,822.86,318.47,0.39
2007,CHITAGA,57.49,52.61,16.06,0.31
2007,CONVENCION,2904.84,2641.95,1694.99,0.64
2007,CUCUTA,69.42,67.39,24.17,0.36
2007,CUCUTILLA,1540.58,1511.41,724.12,0.48
2007,DURANIA,1590.28,1562.21,610.41,0.39
2007,EL CARMEN,1710.06,1518.86,824.56,0.54
2007,EL ZULIA,733.55,670.66,425.95,0.64
2007,GRAMALOTE,1463.99,1409.38,507.27,0.36
2007,HACARI,1179.45,1092.88,627.87,0.57
2007,HERRAN,130.65,125.29,60.18,0.48
2007,LA PLAYA,133.53,121.32,57.79,0.48
2007,LABATECA,1034.87,1005.92,310.25,0.31
2007,LOS PATIOS,254.28,252.09,106.22,0.42
2007,LOURDES,1425.05,1336.96,479.36,0.36
2007,OCAÑA,435.54,385.21,206.19,0.54
2007,PAMPLONITA,361.04,352.06,110.55,0.31
2007,RAGONVALIA,357.06,332.76,130.59,0.39
2007,SALAZAR,2603.94,2489.24,857.93,0.34
2007,SAN CALIXTO,1918.49,1754.83,1143.59,0.65
2007,SAN CAYETANO,213.02,212.18,56.71,0.27
2007,SANTIAGO,539.58,529.27,142.25,0.27
2007,SARDINATA,2303.18,2186.71,980.9,0.45
2007,TEORAMA,868.42,840.2,499.17,0.59
2007,TOLEDO,1662.5,1605.57,543.97,0.34
2007,VILLA CARO,326.38,318.91,99.8,0.31
2007,VILLA DEL ROSARIO,186.66,182.21,55.91,0.31
2008,ABREGO,492.04,455.94,188.06,0.41
2008,ARBOLEDAS,2127.61,2065.62,757.1,0.37
2008,BOCHALEMA,773.36,748.36,263.68,0.35
2008,BUCARASICA,907.94,858.01,441.5,0.51
2008,CACHIRA,757.15,662.97,327.69,0.49
2008,CHINACOTA,851.5,822.86,318.47,0.39
2008,CHITAGA,57.49,52.61,16.06,0.31
2008,CONVENCION,2904.84,2641.95,1694.99,0.64
2008,CUCUTA,69.42,67.39,24.17,0.36
2008,CUCUTILLA,1540.58,1511.41,724.12,0.48
2008,DURANIA,1590.28,1562.21,610.41,0.39
2008,EL CARMEN,1710.06,1518.86,824.56,0.54
2008,EL ZULIA,733.55,670.66,425.95,0.64
2008,GRAMALOTE,1463.99,1409.38,507.27,0.36
2008,HACARI,1179.45,1092.88,627.87,0.57
2008,HERRAN,130.65,125.29,60.18,0.48
2008,LA PLAYA,133.53,121.32,57.79,0.48
2008,LABATECA,1034.87,1005.92,310.25,0.31
2008,LOS PATIOS,254.28,252.09,106.22,0.42
2008,LOURDES,1425.05,1336.96,479.36,0.36
2008,OCAÑA,435.54,385.21,206.19,0.54
2008,PAMPLONITA,361.04,352.06,110.55,0.31
2008,RAGONVALIA,357.06,332.76,130.59,0.39
2008,SALAZAR,2603.94,2489.24,857.93,0.34
2008,SAN CALIXTO,1918.49,1754.83,1143.59,0.65
2008,SAN CAYETANO,213.02,212.18,56.71,0.27
2008,SANTIAGO,539.58,529.27,142.25,0.27
2008,SARDINATA,2303.18,2186.71,980.9,0.45
2008,TEORAMA,868.42,840.2,499.17,0.59
2008,TOLEDO,1662.5,1605.57,543.97,0.34
2008,VILLA CARO,326.38,318.91,99.8,0.31
2008,VILLA DEL ROSARIO,186.66,182.21,55.91,0.31
2009,ABREGO,595.41,595.41,193.94,0.33
2009,ARBOLEDAS,2296.19,2296.19,456.08,0.2
2009,BOCHALEMA,795.41,795.41,142.62,0.18
2009,BUCARASICA,992.57,992.57,500.97,0.5
2009,CACHIRA,940.89,940.89,344.43,0.37
2009,CHINACOTA,787.72,787.72,184.59,0.23
2009,CHITAGA,98.07,98.07,13.42,0.14
2009,CONVENCION,2943.79,2943.79,1262.91,0.43
2009,CUCUTA,83.63,83.63,13.72,0.16
2009,CUCUTILLA,1630.41,1630.41,549.48,0.34
2009,DURANIA,1625.15,1625.15,413.32,0.25
2009,EL CARMEN,1760.73,1760.73,665.72,0.38
2009,EL TARRA,92.3,92.3,36.92,0.4
2009,EL ZULIA,806.46,806.46,327.58,0.41
2009,GRAMALOTE,1434.66,1434.66,396.06,0.28
2009,HACARI,1244.32,1244.32,642.24,0.52
2009,HERRAN,137.4,137.4,59.33,0.43
2009,LA ESPERANZA,91.58,91.58,13.5,0.15
2009,LA PLAYA,162.05,162.05,45.34,0.28
2009,LABATECA,1064.13,1064.13,242.74,0.23
2009,LOS PATIOS,256.99,256.99,53.89,0.21
2009,LOURDES,1464.4,1464.4,479.29,0.33
2009,OCAÑA,635.91,635.91,198.09,0.31
2009,PAMPLONA,0.4,0.4,0.5,1.25
2009,PAMPLONITA,464.54,464.54,70.94,0.15
2009,RAGONVALIA,376.22,376.22,104.28,0.28
2009,SALAZAR,2519.83,2519.83,456.21,0.18
2009,SAN CALIXTO,2000.45,2000.45,959.11,0.48
2009,SAN CAYETANO,199.52,199.52,28.98,0.15
2009,SANTIAGO,498.62,498.62,54.25,0.11
2009,SARDINATA,2290.07,2290.07,612.34,0.27
2009,TEORAMA,905.9,905.9,109.83,0.12
2009,TIBU,54.79,54.79,21.92,0.4
2009,TOLEDO,1746.08,1746.08,433.27,0.25
2009,VILLA CARO,364.67,364.67,96.81,0.27
2009,VILLA DEL ROSARIO,191.32,191.32,37.12,0.19
2010,ABREGO,614.37,538.91,382.47,0.71
2010,ARBOLEDAS,2170.42,1990.7,1001.31,0.5
2010,BOCHALEMA,780.34,733.0,352.99,0.48
2010,BUCARASICA,1023.9,945.75,774.1,0.82
2010,CACHIRA,1007.72,885.16,783.36,0.88
2010,CHINACOTA,696.23,653.08,424.64,0.65
2010,CHITAGA,122.37,78.55,31.76,0.4
2010,CONVENCION,2990.49,2606.76,2991.49,1.15
2010,CUCUTA,71.35,71.35,36.5,0.51
