Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,MOCOA,20.0,20.0,23.0,1.15
2007,ORITO,40.0,12.0,8.0,0.67
2007,PUERTO CAICEDO,3.0,3.0,3.0,1.0
2008,MOCOA,32.0,20.0,23.4,1.17
2008,ORITO,60.0,8.0,9.2,1.15
2008,PUERTO CAICEDO,3.0,3.0,3.0,1.0
2009,MOCOA,32.0,20.0,23.4,1.17
2009,PUERTO CAICEDO,8.0,3.0,3.3,1.1
2010,MOCOA,33.0,21.0,23.4,1.11
2010,PUERTO CAICEDO,8.0,3.0,3.3,1.1
2011,MOCOA,45.5,32.0,37.0,1.16
2011,PUERTO CAICEDO,10.0,8.0,8.8,1.1
2012,MOCOA,32.0,32.0,38.4,1.2
2012,PUERTO CAICEDO,10.0,10.0,10.0,1.0
2013,MOCOA,44.79,24.27,16.87,0.7
2014,MOCOA,128.65,101.16,76.04,0.75
2015,MOCOA,128.65,128.65,124.67,0.97
2017,MOCOA,224.64,209.29,282.18,1.35
2018,MOCOA,222.27,209.93,289.5,1.38
2019,MOCOA,214.0,214.0,107.0,0.5
2019,SAN MIGUEL,10.0,8.0,8.0,1.0
2020,MOCOA,212.0,193.0,143.6,0.74
2020,SAN MIGUEL,15.0,10.0,15.0,1.5
2021,MOCOA,418.76,371.84,405.31,1.09
2021,SAN MIGUEL,30.0,30.0,32.7,1.09
2022,MOCOA,207.74,183.18,155.83,0.85
2022,PUERTO ASIS,2.0,0.0,0.0,0.0
2022,SAN MIGUEL,17.0,15.0,13.5,0.9
2023,MOCOA,184.45,163.85,126.34,0.77
2023,PUERTO ASIS,3.0,0.0,0.0,0.0
2023,SAN MIGUEL,14.0,11.0,9.9,0.9
2023,VILLAGARZON,15.0,0.0,0.0,0.0
