Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ARMENIA,2102.93,1820.0,2608.0,1.43
2007,BUENAVISTA,1137.16,990.0,1274.0,1.29
2007,CALARCA,4735.73,3776.0,4744.0,1.26
2007,CIRCASIA,2236.66,1874.0,2379.0,1.27
2007,CORDOBA,1516.53,1328.0,1375.0,1.04
2007,FILANDIA,2289.19,1920.0,2722.0,1.42
2007,GENOVA,1042.66,931.0,886.0,0.95
2007,LA TEBAIDA,482.15,392.0,687.0,1.75
2007,MONTENEGRO,1112.51,930.0,1413.0,1.52
2007,PIJAO,2626.02,2368.0,2585.0,1.09
2007,QUIMBAYA,3610.06,2964.0,4164.0,1.4
2007,SALENTO,676.87,611.0,589.0,0.96
2008,ARMENIA,2071.23,1820.0,2467.0,1.3599999999999999
2008,BUENAVISTA,1120.02,955.0,1163.0,1.22
2008,CALARCA,4664.33,3711.0,4410.0,1.19
2008,CIRCASIA,2202.94,1807.0,2170.0,1.2
2008,CORDOBA,1493.67,1307.0,1281.0,0.98
2008,FILANDIA,2254.68,1902.0,2551.0,1.34
2008,GENOVA,1026.94,916.0,825.0,0.9
2008,LA TEBAIDA,474.88,379.0,628.0,1.6600000000000001
2008,MONTENEGRO,1095.74,944.0,1357.0,1.44
2008,PIJAO,2586.43,2330.0,2406.0,1.03
2008,QUIMBAYA,3555.63,2924.0,3886.0,1.33
2008,SALENTO,666.66,576.0,525.0,0.91
2009,ARMENIA,2039.92,1643.0,2130.0,1.3
2009,BUENAVISTA,1103.08,975.0,1135.0,1.16
2009,CALARCA,4593.82,3898.0,4430.0,1.1400000000000001
2009,CIRCASIA,2169.64,1801.0,2069.0,1.15
2009,CORDOBA,1471.09,1226.0,1149.0,0.94
2009,FILANDIA,2220.59,1837.0,2356.0,1.28
2009,GENOVA,1011.42,854.0,735.0,0.86
2009,LA TEBAIDA,467.7,349.0,553.0,1.58
2009,MONTENEGRO,1079.18,866.0,1190.0,1.37
2009,PIJAO,2547.33,2278.0,2250.0,0.99
2009,QUIMBAYA,3501.88,2727.0,3466.0,1.27
2009,SALENTO,656.58,598.0,522.0,0.87
2010,ARMENIA,2002.28,1541.0,1988.0,1.29
2010,BUENAVISTA,1082.73,940.0,1202.0,1.28
2010,CALARCA,4509.07,3624.0,3825.0,1.06
2010,CIRCASIA,2129.61,1752.0,2176.0,1.24
2010,CORDOBA,1443.95,1168.0,1190.0,1.02
2010,FILANDIA,2179.63,1745.0,2077.0,1.19
2010,GENOVA,992.76,787.0,732.0,0.93
2010,LA TEBAIDA,459.08,339.0,493.0,1.45
2010,MONTENEGRO,1059.27,834.0,1192.0,1.43
2010,PIJAO,2500.33,2173.0,2270.0,1.04
2010,QUIMBAYA,3437.28,2690.0,3472.0,1.29
2010,SALENTO,644.47,566.0,448.0,0.79
2011,ARMENIA,2452.5,1763.6,2116.32,1.2
2011,BUENAVISTA,1243.6,781.3,777.4,1.0
2011,CALARCA,5080.5,3366.7,4021.7,1.19
2011,CIRCASIA,2707.2,2072.4,2482.78,1.2
2011,CORDOBA,2154.3,1320.2,1174.04,0.89
2011,FILANDIA,2502.3,1641.1,1471.32,0.9
2011,GENOVA,4869.8,2797.6,2160.38,0.77
2011,LA TEBAIDA,647.4,403.5,443.85,1.1
2011,MONTENEGRO,1608.0,1060.2,1055.72,1.0
2011,PIJAO,3384.7,2017.9,1750.91,0.87
2011,QUIMBAYA,3774.7,2574.5,3089.0,1.2
2011,SALENTO,654.5,340.3,270.68,0.8
2012,ARMENIA,2332.8,1477.12,1473.01,1.0
2012,BUENAVISTA,1244.34,805.99,631.72,0.78
2012,CALARCA,4978.3,3322.09,3594.47,1.08
2012,CIRCASIA,2549.93,1789.35,1427.75,0.8
2012,CORDOBA,2103.1,1640.21,1397.93,0.85
2012,FILANDIA,2430.42,1656.65,1317.51,0.8
2012,GENOVA,4784.06,3779.86,2384.38,0.63
2012,LA TEBAIDA,652.72,338.98,372.88,1.1
2012,MONTENEGRO,1580.1,902.76,809.45,0.9
2012,PIJAO,3269.66,2629.85,1972.39,0.75
2012,QUIMBAYA,3622.52,2303.94,2301.36,1.0
2012,SALENTO,632.82,463.03,347.27,0.75
2013,ARMENIA,2280.43,1564.89,1665.22,1.06
2013,BUENAVISTA,1197.67,845.14,719.46,0.85
2013,CALARCA,4668.46,3216.08,3630.03,1.13
2013,CIRCASIA,2469.04,1803.27,1918.89,1.06
2013,CORDOBA,2021.34,1609.95,1541.86,0.96
2013,FILANDIA,2292.44,1713.11,1640.65,0.96
2013,GENOVA,4523.56,3631.8,2705.26,0.74
2013,LA TEBAIDA,589.99,362.16,423.92,1.17
2013,MONTENEGRO,1485.25,957.89,1019.31,1.06
2013,PIJAO,3264.73,2635.21,2439.63,0.93
2013,QUIMBAYA,3472.44,2387.14,2540.19,1.06
2013,SALENTO,614.46,476.39,354.85,0.74
2014,ARMENIA,2219.75,1479.96,1702.87,1.15
2014,BUENAVISTA,1170.03,907.4,835.26,0.92
2014,CALARCA,4432.01,3438.16,4196.16,1.22
2014,CIRCASIA,2339.04,1833.85,2110.06,1.15
2014,CORDOBA,1908.08,1615.15,1672.58,1.04
2014,FILANDIA,2136.0,1745.72,1807.79,1.04
2014,GENOVA,4396.03,3748.87,3019.46,0.81
2014,LA TEBAIDA,584.1,345.36,437.12,1.27
2014,MONTENEGRO,1432.49,984.08,1132.3,1.15
2014,PIJAO,3186.39,2644.44,2647.18,1.0
2014,QUIMBAYA,3274.49,2222.03,2556.71,1.15
2014,SALENTO,595.09,497.79,400.94,0.81
2015,ARMENIA,2187.86,1436.28,2097.06,1.46
2015,BUENAVISTA,1155.61,951.52,1076.45,1.13
2015,CALARCA,4372.96,3496.7,4081.36,1.17
2015,CIRCASIA,2246.38,1800.35,2097.26,1.16
2015,CORDOBA,1722.74,1478.25,1524.64,1.03
2015,FILANDIA,2079.0,1786.71,1913.76,1.07
2015,GENOVA,4372.65,3719.11,3785.46,1.02
2015,LA TEBAIDA,581.18,442.57,563.0,1.27
2015,MONTENEGRO,1403.65,1041.3,1353.64,1.3
2015,PIJAO,3141.91,2678.0,2620.26,0.98
2015,QUIMBAYA,3182.85,2178.54,3064.03,1.41
2015,SALENTO,576.8,481.88,517.63,1.07
2016,ARMENIA,2016.11,1297.49,1959.22,1.51
2016,BUENAVISTA,1111.83,897.46,1050.02,1.17
2016,CALARCA,4003.42,3138.24,3788.23,1.21
2016,CIRCASIA,2162.95,1699.38,2047.35,1.2
2016,CORDOBA,1670.53,1405.25,1498.92,1.07
2016,FILANDIA,1989.54,1676.19,1856.79,1.11
2016,GENOVA,4283.45,3571.57,3759.62,1.05
2016,LA TEBAIDA,536.48,400.49,526.9,1.32
2016,MONTENEGRO,1351.95,983.22,1321.85,1.34
2016,PIJAO,2869.65,2397.82,2426.36,1.01
2016,QUIMBAYA,3017.98,2025.06,2945.57,1.45
2016,SALENTO,670.95,549.51,610.47,1.11
2017,ARMENIA,1904.12,1307.12,1354.81,1.04
2017,BUENAVISTA,1066.45,708.34,728.21,1.03
2017,CALARCA,3822.58,2779.01,2845.27,1.02
2017,CIRCASIA,2035.96,1496.93,1892.12,1.26
2017,CORDOBA,1584.89,1221.52,1029.34,0.84
2017,FILANDIA,1866.76,1419.48,1196.15,0.84
2017,GENOVA,3866.75,3055.72,3347.45,1.1
2017,LA TEBAIDA,523.28,375.56,382.93,1.02
2017,MONTENEGRO,1267.8,886.09,896.02,1.01
2017,PIJAO,2268.57,1915.14,2017.29,1.05
2017,QUIMBAYA,2904.03,1989.51,2505.16,1.26
2017,SALENTO,643.89,545.25,597.3,1.1
2018,ARMENIA,1868.16,1235.36,1309.63,1.06
2018,BUENAVISTA,1012.69,733.68,771.46,1.05
2018,CALARCA,3593.93,2762.97,2893.35,1.05
2018,CIRCASIA,1901.93,1447.75,1871.69,1.29
2018,CORDOBA,1510.2,1229.1,1059.34,0.86
2018,FILANDIA,1812.91,1374.95,1185.05,0.86
2018,GENOVA,3391.21,2795.65,3132.38,1.12
2018,LA TEBAIDA,516.05,316.43,330.0,1.04
2018,MONTENEGRO,1212.53,809.68,837.42,1.03
2018,PIJAO,1583.15,1344.02,1447.99,1.08
2018,QUIMBAYA,2710.44,1764.97,2273.1,1.29
2018,SALENTO,633.75,560.17,627.64,1.12
2019,ARMENIA,1621.0,1098.0,1647.0,1.5
2019,BUENAVISTA,933.0,659.0,870.0,1.32
2019,CALARCA,3173.0,2348.0,3110.0,1.32
2019,CIRCASIA,1627.0,1178.43,1473.04,1.25
2019,CORDOBA,1475.0,1183.0,1533.0,1.3
2019,FILANDIA,1625.0,1277.0,1619.0,1.27
2019,GENOVA,3313.0,2682.0,3478.0,1.3
2019,LA TEBAIDA,503.94,279.12,446.59,1.6
2019,MONTENEGRO,1129.0,714.0,964.0,1.35
2019,PIJAO,1522.15,1223.35,1529.19,1.25
2019,QUIMBAYA,2509.0,1681.0,2387.02,1.42
2019,SALENTO,592.0,498.0,649.0,1.3
2020,ARMENIA,1589.0,1110.0,1386.0,1.25
2020,BUENAVISTA,874.0,662.0,808.0,1.22
2020,CALARCA,3149.0,2545.0,3116.0,1.22
2020,CIRCASIA,1464.0,1138.0,1408.0,1.24
2020,CORDOBA,1472.0,1171.0,1404.0,1.2
2020,FILANDIA,1626.76,1382.76,1382.76,1.0
2020,GENOVA,3301.0,2660.0,3188.0,1.2
2020,LA TEBAIDA,526.0,419.0,525.0,1.25
2020,MONTENEGRO,1102.0,786.0,981.0,1.25
2020,PIJAO,1471.0,1188.0,1436.0,1.21
2020,QUIMBAYA,2491.0,1797.0,2246.0,1.25
2020,SALENTO,581.0,512.0,616.0,1.2
2021,ARMENIA,3058.04,2113.22,2303.41,1.09
2021,BUENAVISTA,1649.3,1298.54,1649.15,1.27
2021,CALARCA,5865.26,4707.02,4707.02,1.0
2021,CIRCASIA,2771.76,2205.5,2315.78,1.05
2021,CORDOBA,2925.42,2289.16,2289.16,1.0
2021,FILANDIA,3145.34,2499.04,2274.13,0.91
2021,GENOVA,6442.7,5126.0,5126.0,1.0
2021,LA TEBAIDA,1085.46,852.28,928.99,1.09
2021,MONTENEGRO,2191.94,1572.14,1713.63,1.09
2021,PIJAO,2912.06,2335.22,2662.15,1.1400000000000001
2021,QUIMBAYA,4795.54,3478.02,3964.94,1.1400000000000001
2021,SALENTO,899.72,705.52,769.02,1.09
2022,ARMENIA,1532.26,1141.98,960.73,0.84
2022,BUENAVISTA,835.48,692.15,672.73,0.97
2022,CALARCA,2911.23,2223.39,2214.25,1.0
2022,CIRCASIA,1390.89,1109.11,893.7,0.81
2022,CORDOBA,1370.12,1100.23,834.35,0.76
2022,FILANDIA,1574.31,1237.19,1080.56,0.87
2022,GENOVA,2981.49,2373.99,2498.66,1.05
2022,LA TEBAIDA,544.25,415.4,525.3,1.26
2022,MONTENEGRO,1106.96,789.43,901.98,1.1400000000000001
2022,PIJAO,1452.84,1247.68,1085.54,0.87
2022,QUIMBAYA,2288.48,1559.4,1470.32,0.94
