Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,APIA,4851.0,4451.0,7410.6,1.6600000000000001
2007,BALBOA,2487.0,2207.0,2391.0,1.08
2007,BELEN DE UMBRIA,8039.62,7187.22,11265.0,1.5699999999999998
2007,DOS QUEBRADAS,1910.51,1022.35,1806.41,1.77
2007,GUATICA,2620.1,2094.0,2655.4,1.27
2007,LA CELIA,3754.02,3043.94,3248.62,1.07
2007,LA VIRGINIA,60.52,58.08,46.4,0.8
2007,MARSELLA,5218.7,4012.9,5977.4,1.49
2007,MISTRATO,1588.86,1499.82,2498.7,1.67
2007,PEREIRA,7918.78,7097.55,12265.55,1.73
2007,PUEBLO RICO,513.19,484.0,784.5,1.62
2007,QUINCHIA,3889.55,3532.55,3763.37,1.07
2007,SANTA ROSA DE CABAL,6695.79,6083.82,9578.6,1.5699999999999998
2007,SANTUARIO,6167.0,4915.02,9151.0,1.8599999999999999
2008,APIA,4841.23,3864.0,6075.0,1.5699999999999998
2008,BALBOA,2434.01,2162.0,1662.0,0.77
2008,BELEN DE UMBRIA,7949.11,6832.0,10075.0,1.47
2008,DOS QUEBRADAS,1856.46,1695.0,1421.0,0.84
2008,GUATICA,2990.0,2687.0,2518.0,0.94
2008,LA CELIA,3781.87,3340.0,2369.0,0.71
2008,LA VIRGINIA,63.07,41.0,49.0,1.2
2008,MARSELLA,5046.32,4339.0,4778.0,1.1
2008,MISTRATO,1608.98,1417.0,1522.0,1.07
2008,PEREIRA,7291.07,6639.0,11750.0,1.77
2008,PUEBLO RICO,570.26,492.0,357.0,0.73
2008,QUINCHIA,3880.91,3451.0,3456.0,1.0
2008,SANTA ROSA DE CABAL,6482.09,5768.0,6021.0,1.04
2008,SANTUARIO,6279.37,4500.0,8026.0,1.78
2009,APIA,4847.36,3897.0,4722.0,1.21
2009,BALBOA,2464.69,2166.0,1615.0,0.75
2009,BELEN DE UMBRIA,7892.9,5682.0,9514.0,1.67
2009,DOS QUEBRADAS,1881.83,1679.0,1160.0,0.69
2009,GUATICA,2479.0,2479.0,2204.0,0.89
2009,LA CELIA,3837.58,3445.0,2566.0,0.74
2009,LA VIRGINIA,64.75,43.0,60.0,1.4
2009,MARSELLA,4982.07,4207.0,4775.0,1.1400000000000001
2009,MISTRATO,1599.0,1509.0,1434.0,0.95
2009,PEREIRA,6954.84,5672.0,9287.0,1.6400000000000001
2009,PUEBLO RICO,603.97,386.0,353.0,0.91
2009,QUINCHIA,4029.42,2913.0,3436.0,1.18
2009,SANTA ROSA DE CABAL,6269.1,6022.0,5890.0,0.98
2009,SANTUARIO,6346.45,5328.0,6632.0,1.24
2010,APIA,4851.0,4236.0,6227.0,1.47
2010,BALBOA,2486.0,2220.0,2608.0,1.17
2010,BELEN DE UMBRIA,7839.0,6875.0,11318.0,1.65
2010,DOS QUEBRADAS,1743.0,1624.0,2105.0,1.3
2010,GUATICA,2447.0,2185.0,2900.0,1.33
2010,LA CELIA,3684.0,3433.0,4067.0,1.18
2010,LA VIRGINIA,65.0,47.0,81.0,1.72
2010,MARSELLA,4898.0,4206.0,6057.0,1.44
2010,MISTRATO,1551.0,1266.0,1798.0,1.42
2010,PEREIRA,6487.0,6137.0,11394.0,1.8599999999999999
2010,PUEBLO RICO,601.0,474.0,480.0,1.01
2010,QUINCHIA,4064.0,3410.0,5064.0,1.49
2010,SANTA ROSA DE CABAL,5852.0,5852.0,8909.0,1.52
2010,SANTUARIO,6329.0,5343.0,9083.0,1.7
2011,APIA,4904.78,4088.5,5108.48,1.25
2011,BALBOA,2524.0,2134.0,2337.0,1.1
2011,BELEN DE UMBRIA,7939.08,6840.91,9132.5,1.33
2011,DOS QUEBRADAS,1736.64,1506.64,1130.0,0.75
2011,GUATICA,2507.44,2088.36,1611.0,0.77
2011,LA CELIA,3739.95,3219.36,3431.7,1.07
2011,LA VIRGINIA,67.2,44.15,55.94,1.27
2011,MARSELLA,4876.42,4332.69,4382.8,1.01
2011,MISTRATO,1594.66,1278.0,1030.23,0.81
2011,PEREIRA,6047.0,5313.8,5504.9,1.04
2011,PUEBLO RICO,442.5,225.0,224.0,1.0
2011,QUINCHIA,4094.6,3416.55,2902.36,0.85
2011,SANTA ROSA DE CABAL,6428.0,5475.0,4751.0,0.87
2011,SANTUARIO,6333.24,4770.68,7440.4,1.56
2012,APIA,4905.0,4367.0,5240.4,1.2
2012,BALBOA,2584.34,1868.88,1812.81,0.97
2012,BELEN DE UMBRIA,7939.08,6462.15,4859.04,0.75
