Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,AGUADA,50.15,40.0,24.0,0.6
2007,ALBANIA,502.57,418.0,251.0,0.6
2007,ARATOCA,1240.0,1240.0,1240.0,1.0
2007,BARBOSA,601.57,420.0,630.0,1.5
2007,BARICHARA,512.38,485.0,424.37,0.87
2007,BETULIA,666.78,631.0,610.2,0.97
2007,BOLIVAR,110.0,110.0,40.0,0.36
2007,BUCARAMANGA,609.91,378.0,254.0,0.67
2007,CABRERA,3.87,3.37,2.3,0.68
2007,CEPITA,1.2,1.2,1.8,1.5
2007,CHARALA,931.99,725.0,562.0,0.78
2007,CHARTA,70.0,70.0,38.0,0.54
2007,CHIMA,843.34,680.0,545.0,0.8
2007,CHIPATA,54.23,45.0,58.5,1.3
2007,CONFINES,615.14,460.0,258.0,0.56
2007,CONTRATACION,322.0,322.0,280.0,0.87
2007,COROMORO,1193.67,988.0,988.0,1.0
2007,CURITI,910.9,800.0,1200.0,1.5
2007,EL CARMEN DE CHUCURI,1156.28,1088.0,870.0,0.8
2007,EL GUACAMAYO,72.0,55.0,72.0,1.31
2007,EL PLAYON,697.55,580.0,406.0,0.7
2007,ENCINO,160.0,160.0,176.0,1.1
2007,ENCISO,2.0,2.0,1.0,0.5
2007,FLORIAN,439.03,401.0,281.0,0.7
2007,FLORIDABLANCA,567.48,535.0,388.0,0.73
2007,GALAN,656.35,652.0,489.0,0.75
2007,GAMBITA,48.96,45.0,35.0,0.78
2007,GIRON,267.6,140.0,120.0,0.86
2007,GUADALUPE,1403.26,1050.0,957.0,0.91
2007,GUAPOTA,303.25,195.0,280.0,1.44
2007,GUAVATA,585.26,450.0,173.0,0.38
2007,GUEPSA,108.29,64.0,45.0,0.7
2007,HATO,428.76,364.0,373.0,1.02
2007,JESUS MARIA,421.29,340.0,272.0,0.8
2007,JORDAN,54.96,45.0,38.0,0.84
2007,LA BELLEZA,138.61,135.0,90.0,0.67
2007,LA PAZ,23.0,23.0,21.0,0.91
2007,LANDAZURI,85.4,85.0,68.0,0.8
2007,LEBRIJA,240.0,240.0,150.0,0.63
2007,LOS SANTOS,175.39,75.0,52.0,0.69
2007,MATANZA,1266.66,665.0,641.0,0.96
2007,MOGOTES,540.0,540.0,474.0,0.88
2007,MOLAGAVITA,4.0,0.0,0.0,0.0
2007,OCAMONTE,789.7,736.0,779.0,1.06
2007,OIBA,1190.16,883.0,973.0,1.1
2007,ONZAGA,27.59,25.0,12.5,0.5
2007,PALMAS DEL SOCORRO,318.71,280.0,224.0,0.8
2007,PARAMO,1119.62,932.5,839.25,0.9
2007,PIEDECUESTA,388.31,115.0,57.0,0.5
2007,PINCHOTE,1250.39,1150.0,1265.0,1.1
2007,PUENTE NACIONAL,1267.03,1238.0,742.8,0.6
2007,RIONEGRO,1682.0,1682.0,1009.0,0.6
2007,SAN ANDRES,677.09,655.0,737.0,1.13
2007,SAN BENITO,150.91,140.0,56.0,0.4
2007,SAN GIL,1842.61,1650.0,1270.0,0.77
2007,SAN JOAQUIN,14.73,15.0,12.0,0.8
2007,SAN JOSE DE MIRANDA,17.0,17.0,9.0,0.53
2007,SAN VICENTE DE CHUCURI,3940.1,3517.6,3277.0,0.93
2007,SANTA BARBARA,85.01,69.0,27.0,0.39
2007,SIMACOTA,539.09,473.0,283.8,0.6
2007,SOCORRO,2590.82,2120.0,1504.0,0.71
2007,SUAITA,1190.0,1190.0,1094.0,0.92
2007,SUCRE,152.94,50.0,30.0,0.6
2007,SURATA,97.17,80.0,40.0,0.5
2007,TONA,431.95,291.0,264.0,0.91
2007,VALLE DE SAN JOSE,1273.37,420.0,420.0,1.0
2007,VELEZ,271.65,120.0,96.0,0.8
2007,VILLANUEVA,66.68,62.0,44.0,0.71
2007,ZAPATOCA,750.41,750.0,525.0,0.7
2008,AGUADA,51.25,34.0,21.0,0.62
2008,ALBANIA,501.06,402.0,241.0,0.6
2008,ARATOCA,1210.0,1210.0,1340.0,1.11
2008,BARBOSA,619.65,415.0,541.0,1.3
2008,BARICHARA,540.0,540.0,440.0,0.81
2008,BETULIA,651.01,576.0,548.0,0.95
2008,BOLIVAR,92.14,90.0,45.0,0.5
2008,BUCARAMANGA,596.98,320.0,200.0,0.63
2008,CABRERA,3.87,3.37,2.1,0.62
2008,CEPITA,1.5,1.5,2.4,1.6
2008,CHARALA,952.81,723.0,533.0,0.74
2008,CHARTA,69.39,49.0,30.0,0.61
2008,CHIMA,866.08,665.0,543.0,0.82
2008,CHIPATA,57.91,48.0,62.4,1.3
2008,CONFINES,653.8,450.0,249.0,0.55
2008,CONTRATACION,314.0,314.0,263.0,0.84
2008,COROMORO,1230.0,1135.0,1702.0,1.5
2008,CURITI,952.9,900.0,810.0,0.9
2008,EL CARMEN DE CHUCURI,1177.85,1094.0,875.0,0.8
2008,EL GUACAMAYO,72.0,54.0,42.0,0.78
2008,EL PLAYON,729.26,590.0,290.0,0.49
2008,ENCINO,160.0,160.0,176.0,1.1
2008,ENCISO,2.0,2.0,1.0,0.5
2008,FLORIAN,439.88,410.0,185.0,0.45
2008,FLORIDABLANCA,572.26,560.0,399.0,0.71
2008,GALAN,654.03,277.0,255.0,0.92
2008,GAMBITA,61.0,43.0,33.0,0.77
2008,GIRON,248.32,180.0,140.0,0.78
2008,GUACA,70.0,70.0,35.0,0.5
2008,GUADALUPE,1357.5,1125.0,979.0,0.87
2008,GUAPOTA,308.08,208.0,290.0,1.3900000000000001
2008,GUAVATA,590.01,500.0,279.0,0.56
2008,GUEPSA,107.95,80.0,72.0,0.9
2008,HATO,420.41,357.0,347.0,0.97
2008,JESUS MARIA,429.8,325.0,240.0,0.74
2008,JORDAN,54.96,55.0,35.0,0.64
2008,LA BELLEZA,145.33,130.0,104.0,0.8
2008,LA PAZ,23.0,23.0,15.0,0.65
2008,LANDAZURI,79.2,70.0,49.0,0.7
2008,LEBRIJA,230.0,230.0,184.0,0.8
2008,LOS SANTOS,175.38,73.0,54.0,0.74
2008,MATANZA,1296.37,420.0,210.0,0.5
2008,MOGOTES,544.86,500.0,440.0,0.88
2008,MOLAGAVITA,4.11,4.0,3.0,0.75
2008,OCAMONTE,804.05,728.0,770.0,1.06
2008,OIBA,1264.76,867.0,962.0,1.11
2008,ONZAGA,28.14,23.0,12.0,0.52
2008,PALMAS DEL SOCORRO,344.24,315.0,252.0,0.8
2008,PARAMO,1154.92,932.5,839.25,0.9
2008,PIEDECUESTA,391.64,110.0,55.0,0.5
2008,PINCHOTE,1284.52,1250.0,1375.0,1.1
2008,PUENTE NACIONAL,1274.89,1219.0,731.4,0.6
2008,RIONEGRO,1642.21,1620.0,972.0,0.6
2008,SAN ANDRES,710.1,650.0,780.0,1.2
2008,SAN BENITO,152.37,146.0,80.0,0.55
2008,SAN GIL,1868.71,1670.0,1285.0,0.77
2008,SAN JOAQUIN,14.73,15.0,8.0,0.53
2008,SAN JOSE DE MIRANDA,17.0,17.0,8.0,0.47
2008,SAN VICENTE DE CHUCURI,3822.32,3559.0,3339.0,0.94
2008,SANTA BARBARA,88.78,70.0,25.0,0.36
2008,SIMACOTA,554.87,477.0,286.2,0.6
2008,SOCORRO,2724.71,2160.0,1522.0,0.7
2008,SUAITA,1166.46,1100.0,990.0,0.9
2008,SUCRE,154.31,75.0,48.0,0.64
2008,SURATA,113.84,85.0,50.0,0.59
2008,TONA,429.4,296.0,217.0,0.73
2008,VALLE DE SAN JOSE,1290.85,420.0,420.0,1.0
2008,VELEZ,279.02,138.0,118.0,0.86
2008,VILLANUEVA,61.0,61.0,42.0,0.69
2008,ZAPATOCA,773.58,750.0,525.0,0.7
2009,AGUADA,65.14,60.28,19.34,0.32
2009,ALBANIA,521.2,449.68,169.66,0.38
2009,ARATOCA,1236.01,1138.97,1391.01,1.22
2009,BARBOSA,641.16,577.5,731.07,1.27
2009,BARICHARA,524.3,493.4,313.43,0.64
2009,BETULIA,579.1,540.5,368.45,0.68
2009,BOLIVAR,107.51,88.39,28.7,0.32
2009,BUCARAMANGA,613.76,564.41,277.48,0.49
2009,CABRERA,3.87,3.87,2.13,0.55
2009,CEPITA,1.4,1.4,2.4,1.71
2009,CHARALA,962.75,901.97,786.65,0.87
2009,CHARTA,72.71,60.0,30.0,0.5
2009,CHIMA,865.08,800.09,531.08,0.66
2009,CHIPATA,63.15,50.0,20.86,0.42
2009,CONFINES,709.17,614.46,553.0,0.9
2009,CONTRATACION,316.88,278.66,114.12,0.41
2009,COROMORO,1266.36,1161.49,1026.64,0.88
2009,CURITI,995.82,893.81,640.57,0.72
