Año,Municipio,Area Sembrada,Area Cosechada,Produccion (ton),Rendimiento (ha/ton)
2007,ALCALA,1637.5,1452.6,1307.0,0.9
2007,ANDALUCIA,327.01,264.9,344.37,1.3
2007,ANSERMANUEVO,6159.26,5992.43,6601.66,1.1
2007,ARGELIA,3369.72,3365.0,3365.0,1.0
2007,BOLIVAR,2078.0,2050.0,1076.25,0.53
2007,BUGA,593.46,470.0,559.3,1.19
2007,BUGALAGRANDE,2350.34,2323.0,2044.24,0.88
2007,CAICEDONIA,6382.2,5933.0,6674.63,1.13
2007,CALI,628.33,460.0,217.5,0.47
2007,CALIMA EL DARIEN,633.37,600.0,300.0,0.5
2007,CARTAGO,748.6,695.0,299.55,0.43
2007,DAGUA,1764.37,1600.0,1280.0,0.8
2007,EL AGUILA,7602.46,6814.0,6609.58,0.97
2007,EL CAIRO,5026.69,4700.0,3595.5,0.77
2007,EL CERRITO,149.09,134.0,76.38,0.57
2007,EL DOVIO,1224.62,1160.0,580.0,0.5
2007,FLORIDA,907.53,875.0,262.5,0.3
2007,GINEBRA,978.73,887.67,586.58,0.66
2007,GUACARI,631.23,590.0,531.0,0.9
2007,JAMUNDI,1630.58,1620.0,1620.0,1.0
2007,LA CUMBRE,906.49,756.0,756.0,1.0
2007,LA UNION,610.87,542.0,466.12,0.86
2007,LA VICTORIA,767.41,700.0,665.0,0.95
2007,OBANDO,1796.58,1718.0,1288.5,0.75
2007,PALMIRA,304.54,300.0,288.0,0.96
2007,PRADERA,336.6,309.2,172.24,0.56
2007,RESTREPO,1384.61,1196.0,1279.72,1.07
2007,RIOFRIO,4093.31,4000.0,3600.0,0.9
2007,ROLDANILLO,1003.96,993.0,595.8,0.6
2007,SAN PEDRO,428.52,390.0,312.0,0.8
2007,SEVILLA,8743.51,7600.0,8284.0,1.09
2007,TORO,2314.71,2220.0,1776.0,0.8
2007,TRUJILLO,4974.0,4800.0,4320.0,0.9
2007,TULUA,4244.35,3900.0,3900.0,1.0
2007,ULLOA,1056.26,1000.0,800.0,0.8
2007,VERSALLES,1666.28,1384.0,636.64,0.46
2007,VIJES,875.5,870.0,870.0,1.0
2007,YOTOCO,1773.04,1633.0,1470.0,0.9
2007,YUMBO,374.73,370.0,207.2,0.56
2008,ALCALA,1616.0,1488.0,1160.64,0.78
2008,ANDALUCIA,320.0,219.0,263.0,1.2
2008,ANSERMANUEVO,6099.0,5694.0,5694.0,1.0
2008,ARGELIA,2252.0,2252.0,2184.44,0.97
2008,BOLIVAR,1350.0,1180.0,1014.8,0.86
2008,BUGA,573.0,492.0,516.6,1.05
2008,BUGALAGRANDE,2354.0,2300.0,1840.0,0.8
2008,CAICEDONIA,6382.0,6119.0,4222.11,0.69
2008,CALI,628.0,400.0,256.0,0.64
2008,CALIMA EL DARIEN,641.0,633.0,392.46,0.62
2008,CARTAGO,495.0,495.0,213.34,0.43
2008,DAGUA,1654.0,1621.0,1296.8,0.8
2008,EL AGUILA,7955.0,5076.0,7258.68,1.43
2008,EL CAIRO,5027.0,4900.0,4410.0,0.9
2008,EL CERRITO,159.0,149.0,84.93,0.57
2008,EL DOVIO,1217.0,1200.0,528.0,0.44
2008,FLORIDA,922.0,922.0,295.04,0.32
2008,GINEBRA,964.0,869.0,548.0,0.63
2008,GUACARI,701.0,665.0,598.5,0.9
2008,JAMUNDI,1425.0,1425.0,1567.5,1.1
2008,LA CUMBRE,701.0,665.0,598.5,0.9
2008,LA UNION,580.0,479.0,349.67,0.73
2008,LA VICTORIA,765.0,654.0,784.8,1.2
2008,OBANDO,1726.0,1549.0,480.19,0.31
2008,PALMIRA,302.0,285.0,239.0,0.84
2008,PRADERA,336.0,310.0,175.15,0.57
2008,RESTREPO,1392.6,1347.0,1454.76,1.08
2008,RIOFRIO,4093.0,4090.0,3517.4,0.86
2008,ROLDANILLO,1074.0,905.0,389.15,0.43
2008,SAN PEDRO,429.0,429.0,343.2,0.8
2008,SEVILLA,8781.0,7600.0,8284.0,1.09
2008,TORO,2362.0,2262.0,2081.04,0.92
2008,TRUJILLO,5007.0,4761.0,4761.0,1.0
2008,TULUA,4144.0,4144.0,4558.4,1.1
2008,ULLOA,1056.26,903.0,804.0,0.89
2008,VERSALLES,1387.0,1352.0,621.92,0.46
2008,VIJES,841.0,821.0,821.0,1.0
2008,YOTOCO,1769.0,1400.0,840.0,0.6
2008,YUMBO,364.0,364.0,218.4,0.6
2009,ALCALA,1600.8,1562.1,1093.47,0.7
2009,ANDALUCIA,312.2,173.6,277.76,1.6
2009,ANSERMANUEVO,5878.8,5253.7,2626.85,0.5
2009,ARGELIA,3169.4,1983.2,991.6,0.5
2009,BOLIVAR,1889.8,1651.5,1420.29,0.86
2009,BUGA,569.0,489.0,302.0,0.62
2009,BUGALAGRANDE,2218.7,2218.7,2218.7,1.0
2009,CAICEDONIA,5609.0,4773.7,5967.13,1.25
2009,CALI,650.0,413.5,206.75,0.5
2009,CALIMA EL DARIEN,624.2,576.8,346.08,0.6
2009,CARTAGO,494.2,451.2,171.46,0.38
2009,DAGUA,1557.7,1525.7,1220.56,0.8
2009,EL AGUILA,6176.0,4440.0,6268.0,1.41
2009,EL CAIRO,4316.0,4207.1,4200.0,1.0
2009,EL CERRITO,156.0,146.0,83.0,0.57
2009,EL DOVIO,993.6,793.0,872.3,1.1
2009,FLORIDA,890.9,883.4,282.69,0.32
2009,GINEBRA,918.3,870.2,574.33,0.66
2009,GUACARI,583.2,537.9,484.11,0.9
2009,JAMUNDI,1578.0,1567.0,1332.0,0.85
2009,LA CUMBRE,842.6,738.2,738.2,1.0
2009,LA UNION,758.2,723.8,528.37,0.73
2009,LA VICTORIA,765.6,746.1,932.63,1.25
2009,OBANDO,1500.2,1130.1,372.93,0.33
2009,PALMIRA,279.2,275.2,275.2,1.0
2009,PRADERA,397.5,365.4,208.28,0.57
2009,RESTREPO,1237.2,1199.9,1295.89,1.08
2009,RIOFRIO,3893.0,3861.0,3327.0,0.86
2009,ROLDANILLO,934.6,790.4,395.2,0.5
2009,SAN PEDRO,422.8,417.8,334.24,0.8
2009,SEVILLA,7873.0,7011.1,8763.88,1.25
2009,TORO,1913.4,1832.5,1685.9,0.92
2009,TRUJILLO,4980.0,4736.0,4142.0,0.87
2009,TULUA,3916.0,3916.0,5090.8,1.3
2009,ULLOA,939.9,803.9,1004.88,1.25
2009,VERSALLES,1681.7,1639.6,754.22,0.46
2009,VIJES,817.0,730.0,658.0,0.9
2009,YOTOCO,1699.0,1218.0,1055.0,0.87
2009,YUMBO,349.0,349.0,209.4,0.6
2010,ALCALA,1596.0,1567.1,1096.97,0.7
2010,ANDALUCIA,312.2,183.6,293.76,1.6
2010,ANSERMANUEVO,5878.8,5365.7,3756.0,0.7
2010,ARGELIA,3269.4,2103.2,2103.2,1.0
2010,BOLIVAR,1899.8,1651.5,1420.29,0.86
2010,BUGA,588.0,493.0,592.0,1.2
2010,BUGALAGRANDE,2238.7,2218.7,2218.7,1.0
2010,CAICEDONIA,5609.0,4853.7,6067.13,1.25
2010,CALI,660.0,423.5,211.75,0.5
2010,CALIMA EL DARIEN,624.2,596.8,328.24,0.55
2010,CARTAGO,494.2,458.2,174.12,0.38
2010,DAGUA,1557.7,1530.7,1224.56,0.8
2010,EL AGUILA,6176.0,4570.0,6452.0,1.41
2010,EL CAIRO,4316.0,4258.1,5535.53,1.3
2010,EL CERRITO,156.0,150.0,90.0,0.6
2010,EL DOVIO,998.6,783.0,861.3,1.1
2010,FLORIDA,890.9,885.4,309.89,0.35
2010,GINEBRA,918.3,880.2,580.93,0.66
2010,GUACARI,583.2,548.9,494.01,0.9
2010,JAMUNDI,1598.0,1577.0,1341.0,0.85
2010,LA CUMBRE,872.6,748.2,748.2,1.0
2010,LA UNION,758.2,733.8,587.04,0.8
2010,LA VICTORIA,765.6,746.1,900.0,1.21
2010,OBANDO,1600.2,1400.1,690.0,0.49
2010,PALMIRA,279.2,275.2,275.2,1.0
2010,PRADERA,397.5,370.4,211.13,0.57
2010,RESTREPO,1237.2,1199.9,1295.89,1.08
2010,RIOFRIO,3893.0,3870.0,3297.0,0.85
2010,ROLDANILLO,945.8,790.4,632.32,0.8
2010,SAN PEDRO,422.8,417.8,334.24,0.8
2010,SEVILLA,7873.0,7811.1,10154.43,1.3
2010,TORO,1933.4,1872.5,1722.7,0.92
2010,TRUJILLO,4980.0,4850.0,4198.0,0.87
2010,TULUA,3916.0,3916.0,5090.8,1.3
2010,ULLOA,939.9,824.9,1031.23,1.25
2010,VERSALLES,1677.7,1677.4,838.7,0.5
2010,VIJES,777.0,722.0,707.0,0.98
2010,YOTOCO,1748.0,1659.0,1422.0,0.86
2010,YUMBO,349.0,349.0,209.4,0.6
2011,ALCALA,1615.5,1409.2,1832.0,1.3
2011,ANDALUCIA,302.2,231.0,392.7,1.7
2011,ANSERMANUEVO,5956.8,5434.0,6086.1,1.12
2011,ARGELIA,4080.8,1983.2,991.6,0.5
2011,BOLIVAR,1987.0,1787.0,1536.8,0.86
2011,BUGA,584.4,530.4,530.4,1.0
2011,BUGALAGRANDE,2714.0,2480.0,1984.0,0.8
2011,CAICEDONIA,5635.0,4615.0,2595.9,0.56
2011,CALI,652.5,544.1,380.9,0.7
2011,CALIMA EL DARIEN,929.5,895.0,447.5,0.5
2011,CARTAGO,499.2,399.2,375.2,0.94
2011,DAGUA,1657.0,1627.0,1301.6,0.8
2011,EL AGUILA,6175.5,4440.0,6268.0,1.41
2011,EL CAIRO,4316.0,4258.1,5535.53,1.3
2011,EL CERRITO,166.0,143.0,85.8,0.6
2011,EL DOVIO,1181.2,988.0,1086.8,1.1
2011,FLORIDA,922.0,902.0,451.0,0.5
2011,GINEBRA,1043.0,953.3,495.1,0.52
2011,GUACARI,593.0,583.0,524.7,0.9
2011,JAMUNDI,1707.0,1547.0,1237.6,0.8
2011,LA CUMBRE,862.0,862.0,775.8,0.9
2011,LA UNION,331.0,316.0,195.9,0.62
2011,LA VICTORIA,765.6,765.6,842.2,1.1
2011,OBANDO,1552.8,1456.0,1281.3,0.88
2011,PALMIRA,279.0,278.0,278.0,1.0
2011,PRADERA,397.5,365.4,208.3,0.57
2011,RESTREPO,1198.5,1057.5,1142.1,1.08
